Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573174750.787789,1.213758,-0.829483,1.218920,-0.828200,-1.126998,1.191800,-0.822944
3573174750.797791,1.214010,-0.830394,1.219173,-0.829107,-1.126582,1.192189,-0.823761
3573174750.807790,1.214263,-0.831305,1.219426,-0.830014,-1.126166,1.192578,-0.824578
3573174750.817791,1.214517,-0.832216,1.219679,-0.830921,-1.125750,1.192967,-0.825395
3573174750.827790,1.214772,-0.833127,1.219934,-0.831827,-1.125334,1.193357,-0.826212
3573174750.837792,1.215027,-0.834037,1.220189,-0.832734,-1.124918,1.193747,-0.827028
3573174750.847792,1.215283,-0.834947,1.220445,-0.833639,-1.124503,1.194137,-0.827844
3573174750.857793,1.215540,-0.835857,1.220701,-0.834545,-1.124087,1.194528,-0.828660
3573174750.867790,1.215797,-0.836766,1.220958,-0.835450,-1.123672,1.194919,-0.829476
3573174750.877792,1.216055,-0.837675,1.221216,-0.836355,-1.123257,1.195310,-0.830291
3573174750.887794,1.216314,-0.838584,1.221474,-0.837260,-1.122842,1.195702,-0.831107
3573174750.897793,1.216574,-0.839493,1.221733,-0.838164,-1.122428,1.196093,-0.831922
3573174750.907792,1.216834,-0.840401,1.221993,-0.839068,-1.122013,1.196486,-0.832736
3573174750.917795,1.217095,-0.841309,1.222254,-0.839972,-1.121599,1.196878,-0.833551
3573174750.927795,1.217357,-0.842217,1.222515,-0.840875,-1.121185,1.197271,-0.834365
3573174750.937796,1.217619,-0.843124,1.222776,-0.841779,-1.120771,1.197664,-0.835179
3573174750.947795,1.217882,-0.844031,1.223039,-0.842682,-1.120357,1.198057,-0.835993
3573174750.957796,1.218146,-0.844938,1.223302,-0.843584,-1.119944,1.198451,-0.836806
3573174750.967791,1.218411,-0.845845,1.223566,-0.844487,-1.119531,1.198845,-0.837620
3573174750.977797,1.218676,-0.846751,1.223830,-0.845389,-1.119118,1.199239,-0.838433
3573174750.987797,1.218942,-0.847657,1.224095,-0.846290,-1.118705,1.199634,-0.839246
3573174750.997797,1.219209,-0.848563,1.224361,-0.847192,-1.118292,1.200028,-0.840058
3573174751.007797,1.219476,-0.849468,1.224628,-0.848093,-1.117879,1.200424,-0.840871
3573174751.017798,1.219744,-0.850373,1.224895,-0.848994,-1.117467,1.200819,-0.841683
3573174751.027799,1.220013,-0.851278,1.225163,-0.849895,-1.117055,1.201215,-0.842495
3573174751.037798,1.220283,-0.852183,1.225431,-0.850795,-1.116642,1.201611,-0.843307
3573174751.047799,1.220553,-0.853087,1.225700,-0.851695,-1.116231,1.202007,-0.844118
3573174751.057798,1.220824,-0.853991,1.225970,-0.852595,-1.115819,1.202404,-0.844929
3573174751.067795,1.221096,-0.854894,1.226241,-0.853494,-1.115407,1.202801,-0.845741
3573174751.077799,1.221368,-0.855798,1.226512,-0.854394,-1.114996,1.203198,-0.846551
3573174751.087798,1.221641,-0.856701,1.226784,-0.855293,-1.114585,1.203596,-0.847362
3573174751.097799,1.221915,-0.857604,1.227056,-0.856191,-1.114174,1.203994,-0.848172
3573174751.107800,1.222190,-0.858506,1.227329,-0.857090,-1.113763,1.204392,-0.848983
3573174751.117800,1.222465,-0.859409,1.227603,-0.857988,-1.113352,1.204790,-0.849792
3573174751.127800,1.222741,-0.860310,1.227878,-0.858885,-1.112942,1.205189,-0.850602
3573174751.137801,1.223018,-0.861212,1.228153,-0.859783,-1.112532,1.205588,-0.851412
3573174751.147800,1.223295,-0.862114,1.228429,-0.860680,-1.112121,1.205988,-0.852221
3573174751.157802,1.223573,-0.863015,1.228705,-0.861577,-1.111712,1.206387,-0.853030
3573174751.167797,1.223852,-0.863915,1.228982,-0.862474,-1.111302,1.206787,-0.853839
3573174751.177802,1.224132,-0.864816,1.229260,-0.863370,-1.110892,1.207188,-0.854647
3573174751.187802,1.224412,-0.865716,1.229539,-0.864266,-1.110483,1.207588,-0.855456
3573174751.197803,1.224693,-0.866616,1.229818,-0.865162,-1.110074,1.207989,-0.856264
3573174751.207802,1.224975,-0.867516,1.230098,-0.866057,-1.109664,1.208391,-0.857072
3573174751.217803,1.225257,-0.868415,1.230378,-0.866952,-1.109256,1.208792,-0.857880
3573174751.227802,1.225540,-0.869314,1.230659,-0.867847,-1.108847,1.209194,-0.858687
3573174751.237803,1.225824,-0.870213,1.230941,-0.868742,-1.108438,1.209596,-0.859495
3573174751.247804,1.226108,-0.871112,1.231224,-0.869636,-1.108030,1.209999,-0.860302
3573174751.257804,1.226394,-0.872010,1.231507,-0.870530,-1.107622,1.210401,-0.861109
3573174751.267800,1.226679,-0.872908,1.231791,-0.871424,-1.107214,1.210804,-0.861915
3573174751.277804,1.226966,-0.873805,1.232075,-0.872318,-1.106806,1.211208,-0.862722
3573174751.287805,1.227253,-0.874703,1.232360,-0.873211,-1.106398,1.211612,-0.863528
3573174751.297805,1.227541,-0.875600,1.232646,-0.874104,-1.105990,1.212015,-0.864334
3573174751.307805,1.227830,-0.876497,1.232933,-0.874996,-1.105583,1.212420,-0.865140
3573174751.317806,1.228119,-0.877393,1.233220,-0.875889,-1.105176,1.212824,-0.865946
3573174751.327806,1.228410,-0.878289,1.233508,-0.876781,-1.104769,1.213229,-0.866751
3573174751.337806,1.228700,-0.879185,1.233796,-0.877672,-1.104362,1.213635,-0.867556
3573174751.347807,1.228992,-0.880081,1.234085,-0.878564,-1.103955,1.214040,-0.868361
3573174751.357807,1.229284,-0.880976,1.234375,-0.879455,-1.103549,1.214446,-0.869166
3573174751.367803,1.229577,-0.881872,1.234665,-0.880346,-1.103142,1.214852,-0.869971
3573174751.377806,1.229871,-0.882766,1.234957,-0.881237,-1.102736,1.215258,-0.870775
3573174751.387807,1.230165,-0.883661,1.235248,-0.882127,-1.102330,1.215665,-0.871579
3573174751.397809,1.230460,-0.884555,1.235541,-0.883017,-1.101924,1.216072,-0.872383
3573174751.407808,1.230756,-0.885449,1.235834,-0.883907,-1.101519,1.216480,-0.873187
3573174751.417809,1.231052,-0.886343,1.236128,-0.884796,-1.101113,1.216887,-0.873991
3573174751.427808,1.231349,-0.887236,1.236422,-0.885686,-1.100708,1.217295,-0.874794
3573174751.437809,1.231647,-0.888129,1.236717,-0.886575,-1.100303,1.217703,-0.875597
3573174751.447809,1.231946,-0.889022,1.237013,-0.887463,-1.099898,1.218112,-0.876400
3573174751.457810,1.232245,-0.889915,1.237309,-0.888352,-1.099493,1.218521,-0.877203
3573174751.467806,1.232545,-0.890807,1.237606,-0.889240,-1.099088,1.218930,-0.878005
3573174751.477810,1.232846,-0.891699,1.237904,-0.890127,-1.098684,1.219340,-0.878808
3573174751.487811,1.233147,-0.892591,1.238203,-0.891015,-1.098279,1.219749,-0.879610
3573174751.497811,1.233449,-0.893482,1.238502,-0.891902,-1.097875,1.220160,-0.880412
3573174751.507811,1.233752,-0.894373,1.238801,-0.892789,-1.097471,1.220570,-0.881214
3573174751.517812,1.234055,-0.895264,1.239102,-0.893676,-1.097067,1.220981,-0.882015
3573174751.527810,1.234359,-0.896154,1.239403,-0.894562,-1.096663,1.221392,-0.882817
3573174751.537812,1.234664,-0.897045,1.239704,-0.895448,-1.096260,1.221803,-0.883618
3573174751.547813,1.234969,-0.897935,1.240007,-0.896334,-1.095856,1.222215,-0.884419
3573174751.557812,1.235276,-0.898824,1.240310,-0.897220,-1.095453,1.222627,-0.885220
3573174751.567806,1.235583,-0.899714,1.240614,-0.898105,-1.095050,1.223039,-0.886020
3573174751.577813,1.235890,-0.900603,1.240918,-0.898990,-1.094647,1.223452,-0.886821
3573174751.587813,1.236198,-0.901492,1.241223,-0.899874,-1.094244,1.223865,-0.887621
3573174751.597814,1.236507,-0.902380,1.241528,-0.900759,-1.093842,1.224278,-0.888421
3573174751.607814,1.236817,-0.903269,1.241835,-0.901643,-1.093439,1.224691,-0.889221
3573174751.617815,1.237127,-0.904157,1.242142,-0.902527,-1.093037,1.225105,-0.890020
3573174751.627814,1.237439,-0.905044,1.242449,-0.903410,-1.092635,1.225519,-0.890820
