Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573181536.885804,0.000000,0.000000,0.000000,0.000000,2.640098,3.372753,2.214686
3573181536.895803,0.000000,0.000000,0.000000,0.000000,2.640410,3.371391,2.215432
3573181536.905804,0.000000,0.000000,0.000000,0.000000,2.640722,3.370028,2.216179
3573181536.915803,0.000000,0.000000,0.000000,0.000000,2.641034,3.368666,2.216924
3573181536.925800,0.000000,0.000000,0.000000,0.000000,2.641346,3.367303,2.217669
3573181536.935805,0.000000,0.000000,0.000000,0.000000,2.641658,3.365940,2.218414
3573181536.945806,0.000000,0.000000,0.000000,0.000000,2.641969,3.364577,2.219158
3573181536.955805,0.000000,0.000000,0.000000,0.000000,2.642280,3.363213,2.219902
3573181536.965805,0.000000,0.000000,0.000000,0.000000,2.642591,3.361850,2.220646
3573181536.975806,0.000000,0.000000,0.000000,0.000000,2.642902,3.360486,2.221389
3573181536.985806,0.000000,0.000000,0.000000,0.000000,2.643213,3.359123,2.222131
3573181536.995806,0.000000,0.000000,0.000000,0.000000,2.643524,3.357759,2.222873
3573181537.005805,0.000000,0.000000,0.000000,0.000000,2.643834,3.356394,2.223615
3573181537.015807,0.000000,0.000000,0.000000,0.000000,2.644145,3.355030,2.224356
3573181537.025803,0.000000,0.000000,0.000000,0.000000,2.644455,3.353666,2.225096
3573181537.035806,0.000000,0.000000,0.000000,0.000000,2.644765,3.352301,2.225836
3573181537.045807,0.000000,0.000000,0.000000,0.000000,2.645074,3.350936,2.226576
3573181537.055808,0.000000,0.000000,0.000000,0.000000,2.645384,3.349571,2.227315
3573181537.065807,0.000000,0.000000,0.000000,0.000000,2.645693,3.348206,2.228054
3573181537.075809,0.000000,0.000000,0.000000,0.000000,2.646003,3.346841,2.228792
3573181537.085809,0.000000,0.000000,0.000000,0.000000,2.646312,3.345476,2.229530
3573181537.095810,0.000000,0.000000,0.000000,0.000000,2.646621,3.344110,2.230268
3573181537.105809,0.000000,0.000000,0.000000,0.000000,2.646930,3.342744,2.231005
3573181537.115810,0.000000,0.000000,0.000000,0.000000,2.647238,3.341378,2.231741
3573181537.125806,0.000000,0.000000,0.000000,0.000000,2.647547,3.340012,2.232477
3573181537.135811,0.000000,0.000000,0.000000,0.000000,2.647855,3.338646,2.233213
3573181537.145811,0.000000,0.000000,0.000000,0.000000,2.648163,3.337280,2.233948
3573181537.155811,0.000000,0.000000,0.000000,0.000000,2.648471,3.335913,2.234682
3573181537.165810,0.000000,0.000000,0.000000,0.000000,2.648779,3.334547,2.235417
3573181537.175812,0.000000,0.000000,0.000000,0.000000,2.649086,3.333180,2.236150
3573181537.185812,0.000000,0.000000,0.000000,0.000000,2.649394,3.331813,2.236884
3573181537.195812,0.000000,0.000000,0.000000,0.000000,2.649701,3.330446,2.237616
3573181537.205812,0.000000,0.000000,0.000000,0.000000,2.650008,3.329078,2.238349
3573181537.215813,0.000000,0.000000,0.000000,0.000000,2.650315,3.327711,2.239081
3573181537.225809,0.000000,0.000000,0.000000,0.000000,2.650622,3.326343,2.239812
3573181537.235814,0.000000,0.000000,0.000000,0.000000,2.650928,3.324976,2.240543
3573181537.245813,0.000000,0.000000,0.000000,0.000000,2.651235,3.323608,2.241274
3573181537.255814,0.000000,0.000000,0.000000,0.000000,2.651541,3.322240,2.242004
3573181537.265813,0.000000,0.000000,0.000000,0.000000,2.651847,3.320872,2.242733
3573181537.275815,0.000000,0.000000,0.000000,0.000000,2.652153,3.319503,2.243462
3573181537.285814,0.000000,0.000000,0.000000,0.000000,2.652459,3.318135,2.244191
3573181537.295815,0.000000,0.000000,0.000000,0.000000,2.652765,3.316766,2.244919
3573181537.305815,0.000000,0.000000,0.000000,0.000000,2.653070,3.315397,2.245647
3573181537.315815,0.000000,0.000000,0.000000,0.000000,2.653375,3.314028,2.246374
3573181537.325812,0.000000,0.000000,0.000000,0.000000,2.653681,3.312659,2.247101
3573181537.335816,0.000000,0.000000,0.000000,0.000000,2.653985,3.311290,2.247828
3573181537.345817,0.000000,0.000000,0.000000,0.000000,2.654290,3.309921,2.248553
3573181537.355817,0.000000,0.000000,0.000000,0.000000,2.654595,3.308551,2.249279
3573181537.365816,0.000000,0.000000,0.000000,0.000000,2.654899,3.307182,2.250004
3573181537.375817,0.000000,0.000000,0.000000,0.000000,2.655204,3.305812,2.250729
3573181537.385818,0.000000,0.000000,0.000000,0.000000,2.655508,3.304442,2.251453
3573181537.395817,0.000000,0.000000,0.000000,0.000000,2.655812,3.303072,2.252176
3573181537.405818,0.000000,0.000000,0.000000,0.000000,2.656116,3.301702,2.252899
3573181537.415818,0.000000,0.000000,0.000000,0.000000,2.656419,3.300331,2.253622
3573181537.425814,0.000000,0.000000,0.000000,0.000000,2.656723,3.298961,2.254344
3573181537.435819,0.000000,0.000000,0.000000,0.000000,2.657026,3.297590,2.255066
3573181537.445819,0.000000,0.000000,0.000000,0.000000,2.657329,3.296219,2.255788
3573181537.455819,0.000000,0.000000,0.000000,0.000000,2.657632,3.294849,2.256508
3573181537.465818,0.000000,0.000000,0.000000,0.000000,2.657935,3.293477,2.257229
3573181537.475821,0.000000,0.000000,0.000000,0.000000,2.658238,3.292106,2.257949
3573181537.485820,0.000000,0.000000,0.000000,0.000000,2.658540,3.290735,2.258668
3573181537.495821,0.000000,0.000000,0.000000,0.000000,2.658842,3.289364,2.259387
3573181537.505821,0.000000,0.000000,0.000000,0.000000,2.659145,3.287992,2.260106
3573181537.515821,0.000000,0.000000,0.000000,0.000000,2.659447,3.286620,2.260824
3573181537.525817,0.000000,0.000000,0.000000,0.000000,2.659748,3.285248,2.261542
3573181537.535822,0.000000,0.000000,0.000000,0.000000,2.660050,3.283876,2.262259
3573181537.545824,0.000000,0.000000,0.000000,0.000000,2.660352,3.282504,2.262976
3573181537.555822,0.000000,0.000000,0.000000,0.000000,2.660653,3.281132,2.263692
3573181537.565822,0.000000,0.000000,0.000000,0.000000,2.660954,3.279760,2.264408
3573181537.575823,0.000000,0.000000,0.000000,0.000000,2.661255,3.278387,2.265123
3573181537.585823,0.000000,0.000000,0.000000,0.000000,2.661556,3.277014,2.265838
3573181537.595824,0.000000,0.000000,0.000000,0.000000,2.661857,3.275642,2.266553
3573181537.605825,0.000000,0.000000,0.000000,0.000000,2.662157,3.274269,2.267267
3573181537.615825,0.000000,0.000000,0.000000,0.000000,2.662458,3.272896,2.267980
3573181537.625820,0.000000,0.000000,0.000000,0.000000,2.662758,3.271522,2.268694
3573181537.635824,0.000000,0.000000,0.000000,0.000000,2.663058,3.270149,2.269406
3573181537.645825,0.000000,0.000000,0.000000,0.000000,2.663358,3.268776,2.270118
3573181537.655826,0.000000,0.000000,0.000000,0.000000,2.663658,3.267402,2.270830
3573181537.665826,0.000000,0.000000,0.000000,0.000000,2.663957,3.266029,2.271542
3573181537.675827,0.000000,0.000000,0.000000,0.000000,2.664257,3.264655,2.272252
3573181537.685827,0.000000,0.000000,0.000000,0.000000,2.664556,3.263281,2.272963
3573181537.695826,0.000000,0.000000,0.000000,0.000000,2.664855,3.261907,2.273673
3573181537.705827,0.000000,0.000000,0.000000,0.000000,2.665154,3.260533,2.274382
3573181537.715827,0.000000,0.000000,0.000000,0.000000,2.665453,3.259158,2.275091
3573181537.725824,0.000000,0.000000,0.000000,0.000000,2.665751,3.257784,2.275800
3573181537.735827,0.000000,0.000000,0.000000,0.000000,2.666050,3.256409,2.276508
3573181537.745828,0.000000,0.000000,0.000000,0.000000,2.666348,3.255035,2.277215
3573181537.755828,0.000000,0.000000,0.000000,0.000000,2.666646,3.253660,2.277923
3573181537.765828,0.000000,0.000000,0.000000,0.000000,2.666944,3.252285,2.278629
3573181537.775828,0.000000,0.000000,0.000000,0.000000,2.667242,3.250910,2.279336
3573181537.785829,0.000000,0.000000,0.000000,0.000000,2.667540,3.249535,2.280041
3573181537.795829,0.000000,0.000000,0.000000,0.000000,2.667837,3.248159,2.280747
3573181537.805829,0.000000,0.000000,0.000000,0.000000,2.668135,3.246784,2.281452
3573181537.815830,0.000000,0.000000,0.000000,0.000000,2.668432,3.245408,2.282156
3573181537.825826,0.000000,0.000000,0.000000,0.000000,2.668729,3.244033,2.282860
3573181537.835831,0.000000,0.000000,0.000000,0.000000,2.669026,3.242657,2.283564
3573181537.845832,0.000000,0.000000,0.000000,0.000000,2.669322,3.241281,2.284267
3573181537.855831,0.000000,0.000000,0.000000,0.000000,2.669619,3.239905,2.284969
3573181537.865831,0.000000,0.000000,0.000000,0.000000,2.669915,3.238529,2.285672
3573181537.875832,0.000000,0.000000,0.000000,0.000000,2.670212,3.237153,2.286373
3573181537.885832,0.000000,0.000000,0.000000,0.000000,2.670508,3.235777,2.287075
3573181537.895832,0.000000,0.000000,0.000000,0.000000,2.670803,3.234400,2.287775
3573181537.905831,0.000000,0.000000,0.000000,0.000000,2.671099,3.233024,2.288476
3573181537.915833,0.000000,0.000000,0.000000,0.000000,2.671395,3.231647,2.289176
3573181537.925829,0.000000,0.000000,0.000000,0.000000,2.671690,3.230270,2.289875
3573181537.935833,0.000000,0.000000,0.000000,0.000000,2.671986,3.228893,2.290574
3573181537.945834,0.000000,0.000000,0.000000,0.000000,2.672281,3.227516,2.291273
3573181537.955834,0.000000,0.000000,0.000000,0.000000,2.672576,3.226139,2.291971
3573181537.965835,0.000000,0.000000,0.000000,0.000000,2.672870,3.224762,2.292668
3573181537.975835,0.000000,0.000000,0.000000,0.000000,2.673165,3.223385,2.293365
3573181537.985834,0.000000,0.000000,0.000000,0.000000,2.673460,3.222007,2.294062
3573181537.995835,0.000000,0.000000,0.000000,0.000000,2.673754,3.220630,2.294758
3573181538.005836,0.000000,0.000000,0.000000,0.000000,2.674048,3.219252,2.295454
3573181538.015836,0.000000,0.000000,0.000000,0.000000,2.674342,3.217874,2.296150
3573181538.025836,0.000000,0.000000,0.000000,0.000000,2.674636,3.216496,2.296845
3573181538.035836,0.000000,0.000000,0.000000,0.000000,2.674930,3.215118,2.297539
3573181538.045836,0.000000,0.000000,0.000000,0.000000,2.675223,3.213740,2.298233
3573181538.055837,0.000000,0.000000,0.000000,0.000000,2.675517,3.212362,2.298926
3573181538.065837,0.000000,0.000000,0.000000,0.000000,2.675810,3.210984,2.299620
3573181538.075836,0.000000,0.000000,0.000000,0.000000,2.676103,3.209605,2.300312
3573181538.085837,0.000000,0.000000,0.000000,0.000000,2.676396,3.208227,2.301004
3573181538.095839,0.000000,0.000000,0.000000,0.000000,2.676689,3.206848,2.301696
3573181538.105837,0.000000,0.000000,0.000000,0.000000,2.676981,3.205469,2.302387
3573181538.115839,0.000000,0.000000,0.000000,0.000000,2.677274,3.204091,2.303078
