Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573173057.328654,5.739132,-2.988506,5.736796,-2.988706,-0.031685,5.736237,-2.995823
3573173057.338655,5.740151,-2.988550,5.737817,-2.988751,-0.031562,5.737261,-2.995855
3573173057.348654,5.741170,-2.988594,5.738839,-2.988795,-0.031439,5.738284,-2.995887
3573173057.358654,5.742190,-2.988638,5.739860,-2.988839,-0.031315,5.739307,-2.995920
3573173057.368655,5.743209,-2.988682,5.740881,-2.988882,-0.031192,5.740331,-2.995952
3573173057.378656,5.744228,-2.988726,5.741902,-2.988926,-0.031069,5.741354,-2.995983
3573173057.388656,5.745247,-2.988769,5.742923,-2.988970,-0.030946,5.742377,-2.996015
3573173057.398657,5.746267,-2.988813,5.743944,-2.989013,-0.030823,5.743401,-2.996047
3573173057.408656,5.747286,-2.988856,5.744965,-2.989056,-0.030700,5.744424,-2.996078
3573173057.418657,5.748305,-2.988899,5.745986,-2.989099,-0.030576,5.745447,-2.996110
3573173057.428656,5.749324,-2.988942,5.747007,-2.989142,-0.030453,5.746471,-2.996141
3573173057.438657,5.750343,-2.988985,5.748028,-2.989185,-0.030330,5.747494,-2.996172
3573173057.448657,5.751362,-2.989028,5.749049,-2.989228,-0.030207,5.748517,-2.996203
3573173057.458657,5.752381,-2.989070,5.750069,-2.989270,-0.030084,5.749540,-2.996234
3573173057.468658,5.753400,-2.989113,5.751090,-2.989313,-0.029961,5.750563,-2.996265
3573173057.478659,5.754419,-2.989155,5.752111,-2.989355,-0.029838,5.751586,-2.996295
3573173057.488657,5.755438,-2.989197,5.753132,-2.989397,-0.029715,5.752610,-2.996326
3573173057.498659,5.756457,-2.989239,5.754153,-2.989439,-0.029591,5.753633,-2.996356
3573173057.508660,5.757476,-2.989281,5.755173,-2.989481,-0.029468,5.754656,-2.996386
3573173057.518659,5.758495,-2.989323,5.756194,-2.989523,-0.029345,5.755679,-2.996416
3573173057.528660,5.759514,-2.989364,5.757215,-2.989564,-0.029222,5.756702,-2.996446
3573173057.538660,5.760533,-2.989406,5.758235,-2.989605,-0.029099,5.757725,-2.996476
3573173057.548660,5.761552,-2.989447,5.759256,-2.989647,-0.028976,5.758748,-2.996506
3573173057.558661,5.762570,-2.989488,5.760277,-2.989688,-0.028853,5.759771,-2.996535
3573173057.568660,5.763589,-2.989529,5.761297,-2.989729,-0.028730,5.760793,-2.996565
3573173057.578662,5.764608,-2.989570,5.762318,-2.989770,-0.028607,5.761816,-2.996594
3573173057.588660,5.765627,-2.989611,5.763338,-2.989810,-0.028484,5.762839,-2.996623
3573173057.598662,5.766645,-2.989651,5.764359,-2.989851,-0.028361,5.763862,-2.996652
3573173057.608662,5.767664,-2.989692,5.765379,-2.989891,-0.028238,5.764885,-2.996681
3573173057.618662,5.768683,-2.989732,5.766400,-2.989931,-0.028115,5.765908,-2.996710
3573173057.628663,5.769701,-2.989772,5.767420,-2.989971,-0.027991,5.766930,-2.996739
3573173057.638663,5.770720,-2.989812,5.768441,-2.990011,-0.027868,5.767953,-2.996768
3573173057.648663,5.771738,-2.989852,5.769461,-2.990051,-0.027745,5.768976,-2.996796
3573173057.658664,5.772757,-2.989891,5.770481,-2.990091,-0.027622,5.769999,-2.996824
3573173057.668664,5.773776,-2.989931,5.771502,-2.990130,-0.027499,5.771021,-2.996852
3573173057.678664,5.774794,-2.989970,5.772522,-2.990170,-0.027376,5.772044,-2.996881
3573173057.688663,5.775812,-2.990010,5.773542,-2.990209,-0.027253,5.773066,-2.996908
3573173057.698663,5.776831,-2.990049,5.774563,-2.990248,-0.027130,5.774089,-2.996936
3573173057.708665,5.777849,-2.990088,5.775583,-2.990287,-0.027007,5.775112,-2.996964
