Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573174282.137435,0.537936,4.748394,0.885538,4.309519,-2.533325,3.833006,1.383094
3573174282.147436,0.535309,4.736697,0.883923,4.301042,-2.532283,3.830705,1.381490
3573174282.157436,0.532857,4.724916,0.882347,4.292507,-2.531241,3.828409,1.379886
3573174282.167437,0.530582,4.713052,0.880809,4.283913,-2.530199,3.826118,1.378282
3573174282.177437,0.528489,4.701105,0.879309,4.275258,-2.529157,3.823833,1.376678
3573174282.187438,0.526577,4.689073,0.877846,4.266540,-2.528116,3.821553,1.375075
3573174282.197437,0.524851,4.676958,0.876419,4.257758,-2.527076,3.819279,1.373472
3573174282.207438,0.523311,4.664758,0.875029,4.248911,-2.526036,3.817011,1.371870
3573174282.217438,0.521961,4.652475,0.873673,4.239996,-2.524997,3.814750,1.370269
3573174282.227438,0.520801,4.640107,0.872353,4.231012,-2.523958,3.812494,1.368668
3573174282.237439,0.519834,4.627655,0.871065,4.221957,-2.522920,3.810245,1.367068
3573174282.247439,0.519061,4.615119,0.869811,4.212829,-2.521884,3.808002,1.365470
3573174282.257438,0.518484,4.602498,0.868589,4.203628,-2.520848,3.805765,1.363873
3573174282.267439,0.518104,4.589794,0.867398,4.194349,-2.519813,3.803536,1.362277
3573174282.277440,0.517923,4.577005,0.866236,4.184993,-2.518779,3.801313,1.360682
3573174282.287440,0.517940,4.564133,0.865103,4.175557,-2.517746,3.799097,1.359089
3573174282.297440,0.518156,4.551176,0.863998,4.166039,-2.516715,3.796888,1.357498
3573174282.307442,0.518571,4.538137,0.862919,4.156437,-2.515685,3.794687,1.355908
3573174282.317440,0.519186,4.525014,0.861865,4.146749,-2.514656,3.792493,1.354320
3573174282.327441,0.519999,4.511808,0.860833,4.136974,-2.513629,3.790306,1.352734
3573174282.337441,0.521010,4.498520,0.859824,4.127109,-2.512603,3.788127,1.351151
3573174282.347441,0.522217,4.485150,0.858834,4.117152,-2.511579,3.785956,1.349569
3573174282.357441,0.523618,4.471700,0.857862,4.107101,-2.510556,3.783793,1.347990
3573174282.367443,0.525211,4.458169,0.856905,4.096955,-2.509535,3.781637,1.346414
3573174282.377442,0.526993,4.444559,0.855962,4.086711,-2.508516,3.779490,1.344839
3573174282.387443,0.528960,4.430872,0.855031,4.076368,-2.507499,3.777350,1.343268
3573174282.397444,0.531109,4.417107,0.854108,4.065923,-2.506483,3.775219,1.341699
3573174282.407443,0.533434,4.403267,0.853191,4.055376,-2.505470,3.773097,1.340133
3573174282.417443,0.535930,4.389354,0.852277,4.044724,-2.504458,3.770982,1.338570
3573174282.427444,0.538592,4.375368,0.851363,4.033966,-2.503449,3.768877,1.337010
3573174282.437442,0.541414,4.361313,0.850447,4.023100,-2.502441,3.766780,1.335453
3573174282.447444,0.544388,4.347190,0.849523,4.012124,-2.501436,3.764691,1.333899
