Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573178568.037053,-4.685302,0.849554,-4.665792,0.890430,-2.081956,-4.738853,0.956859
3573178568.047055,-4.686325,0.848062,-4.666819,0.888894,-2.081092,-4.739829,0.955117
3573178568.057053,-4.687347,0.846570,-4.667845,0.887357,-2.080227,-4.740802,0.953376
3573178568.067054,-4.688369,0.845078,-4.668870,0.885820,-2.079361,-4.741775,0.951634
3573178568.077055,-4.689389,0.843586,-4.669895,0.884283,-2.078495,-4.742745,0.949891
3573178568.087055,-4.690409,0.842094,-4.670918,0.882747,-2.077629,-4.743713,0.948149
3573178568.097054,-4.691428,0.840603,-4.671940,0.881210,-2.076762,-4.744680,0.946406
3573178568.107056,-4.692445,0.839111,-4.672962,0.879673,-2.075895,-4.745645,0.944662
3573178568.117055,-4.693462,0.837620,-4.673982,0.878137,-2.075027,-4.746608,0.942919
3573178568.127057,-4.694478,0.836129,-4.675002,0.876600,-2.074159,-4.747570,0.941175
3573178568.137055,-4.695493,0.834638,-4.676021,0.875064,-2.073290,-4.748529,0.939431
3573178568.147057,-4.696508,0.833147,-4.677039,0.873527,-2.072421,-4.749487,0.937686
3573178568.157055,-4.697521,0.831656,-4.678056,0.871991,-2.071551,-4.750443,0.935941
3573178568.167056,-4.698533,0.830165,-4.679072,0.870454,-2.070681,-4.751397,0.934196
3573178568.177057,-4.699545,0.828675,-4.680087,0.868918,-2.069811,-4.752349,0.932451
3573178568.187056,-4.700555,0.827184,-4.681101,0.867382,-2.068940,-4.753299,0.930706
3573178568.197058,-4.701565,0.825694,-4.682115,0.865846,-2.068069,-4.754248,0.928960
3573178568.207057,-4.702573,0.824204,-4.683127,0.864309,-2.067197,-4.755194,0.927214
3573178568.217057,-4.703581,0.822713,-4.684138,0.862773,-2.066325,-4.756139,0.925468
3573178568.227058,-4.704587,0.821223,-4.685149,0.861237,-2.065452,-4.757082,0.923721
3573178568.237059,-4.705593,0.819734,-4.686159,0.859701,-2.064579,-4.758023,0.921975
3573178568.247059,-4.706598,0.818244,-4.687167,0.858165,-2.063706,-4.758963,0.920228
3573178568.257058,-4.707602,0.816754,-4.688175,0.856629,-2.062832,-4.759900,0.918481
3573178568.267061,-4.708605,0.815265,-4.689182,0.855093,-2.061958,-4.760836,0.916733
3573178568.277059,-4.709607,0.813775,-4.690188,0.853558,-2.061083,-4.761769,0.914986
3573178568.287062,-4.710608,0.812286,-4.691192,0.852022,-2.060208,-4.762701,0.913238
3573178568.297061,-4.711608,0.810797,-4.692196,0.850486,-2.059333,-4.763631,0.911490
3573178568.307063,-4.712607,0.809308,-4.693199,0.848950,-2.058457,-4.764559,0.909742
