Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573176097.396507,1.160124,-0.462953,1.151182,-0.468645,-1.302852,1.066488,-0.487611
3573176097.406508,1.160369,-0.463842,1.151457,-0.469504,-1.302393,1.066723,-0.488465
3573176097.416505,1.160613,-0.464732,1.151732,-0.470363,-1.301933,1.066958,-0.489320
3573176097.426509,1.160857,-0.465623,1.152007,-0.471223,-1.301474,1.067194,-0.490175
3573176097.436510,1.161101,-0.466514,1.152281,-0.472084,-1.301014,1.067430,-0.491030
3573176097.446510,1.161344,-0.467405,1.152555,-0.472944,-1.300554,1.067667,-0.491886
3573176097.456509,1.161587,-0.468297,1.152828,-0.473806,-1.300094,1.067904,-0.492742
3573176097.466510,1.161830,-0.469190,1.153102,-0.474667,-1.299634,1.068142,-0.493598
3573176097.476511,1.162073,-0.470083,1.153375,-0.475529,-1.299174,1.068380,-0.494455
3573176097.486510,1.162315,-0.470976,1.153648,-0.476392,-1.298713,1.068619,-0.495312
3573176097.496511,1.162557,-0.471870,1.153921,-0.477255,-1.298253,1.068858,-0.496169
3573176097.506511,1.162799,-0.472764,1.154193,-0.478119,-1.297792,1.069098,-0.497026
3573176097.516508,1.163040,-0.473659,1.154465,-0.478983,-1.297331,1.069339,-0.497884
3573176097.526513,1.163282,-0.474555,1.154737,-0.479848,-1.296871,1.069580,-0.498742
3573176097.536512,1.163522,-0.475451,1.155009,-0.480713,-1.296410,1.069821,-0.499601
3573176097.546512,1.163763,-0.476347,1.155280,-0.481579,-1.295949,1.070063,-0.500459
3573176097.556513,1.164003,-0.477244,1.155552,-0.482445,-1.295487,1.070305,-0.501318
3573176097.566511,1.164244,-0.478141,1.155823,-0.483312,-1.295026,1.070548,-0.502178
3573176097.576513,1.164483,-0.479039,1.156093,-0.484179,-1.294565,1.070792,-0.503037
3573176097.586514,1.164723,-0.479938,1.156364,-0.485047,-1.294103,1.071036,-0.503897
3573176097.596513,1.164962,-0.480836,1.156634,-0.485915,-1.293642,1.071280,-0.504757
