Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573175735.405299,6.694232,2.845951,6.750046,2.829837,3.049220,6.762929,2.964871
3573175735.415300,6.693014,2.846242,6.749683,2.831691,3.049375,6.761673,2.964987
3573175735.425300,6.691796,2.846535,6.749328,2.833508,3.049522,6.760479,2.965097
3573175735.435300,6.690578,2.846829,6.748981,2.835290,3.049662,6.759342,2.965202
3573175735.445301,6.689359,2.847124,6.748641,2.837036,3.049795,6.758261,2.965302
3573175735.455301,6.688141,2.847421,6.745623,2.837041,3.049922,6.757232,2.965396
3573175735.465301,6.686922,2.847719,6.742613,2.837012,3.050043,6.756252,2.965486
3573175735.475302,6.685704,2.848017,6.739662,2.836983,3.050158,6.755319,2.965572
3573175735.485302,6.684485,2.848316,6.736770,2.836954,3.050285,6.754286,2.965667
3573175735.495301,6.683266,2.848616,6.733936,2.836926,3.050425,6.753150,2.965771
3573175735.505302,6.682048,2.848917,6.731159,2.836899,3.050578,6.751911,2.965884
3573175735.515302,6.680830,2.849218,6.728438,2.836871,3.050743,6.750570,2.966006
3573175735.525302,6.679612,2.849519,6.725772,2.836845,3.050919,6.749135,2.966137
3573175735.535303,6.678394,2.849821,6.723159,2.836818,3.051107,6.747614,2.966275
3573175735.545303,6.677177,2.850123,6.720599,2.836792,3.051304,6.746014,2.966420
3573175735.555303,6.675959,2.850426,6.718581,2.837477,3.051509,6.744344,2.966571
3573175735.565303,6.674741,2.850729,6.716613,2.838163,3.051723,6.742610,2.966727
3573175735.575304,6.673523,2.851033,6.714685,2.838834,3.051943,6.740820,2.966888
3573175735.585304,6.672305,2.851337,6.712795,2.839492,3.052164,6.739023,2.967050
3573175735.595305,6.671087,2.851642,6.710944,2.840136,3.052385,6.737225,2.967211
3573175735.605304,6.669869,2.851947,6.709129,2.840767,3.052606,6.735431,2.967371
3573175735.615305,6.668650,2.852252,6.707351,2.841385,3.052826,6.733645,2.967530
3573175735.625306,6.667431,2.852558,6.705609,2.841990,3.053044,6.731870,2.967688
3573175735.635307,6.666212,2.852865,6.703901,2.842582,3.053261,6.730107,2.967844
3573175735.645306,6.664993,2.853172,6.702228,2.843162,3.053476,6.728358,2.967999
3573175735.655306,6.663774,2.853480,6.698583,2.845598,3.053689,6.726623,2.968152
3573175735.665307,6.662555,2.853788,6.694971,2.848023,3.053901,6.724904,2.968303
3573175735.675308,6.661336,2.854097,6.691431,2.850399,3.054110,6.723201,2.968453
3573175735.685307,6.660116,2.854406,6.687962,2.852727,3.054334,6.721376,2.968613
3573175735.695306,6.658897,2.854715,6.684561,2.855009,3.054574,6.719428,2.968783
3573175735.705307,6.657678,2.855025,6.681229,2.857245,3.054828,6.717362,2.968963
3573175735.715309,6.656459,2.855334,6.677964,2.859435,3.055096,6.715179,2.969153
3573175735.725307,6.655240,2.855643,6.674765,2.861581,3.055377,6.712891,2.969351
3573175735.735308,6.654021,2.855952,6.671629,2.863683,3.055670,6.710507,2.969556
3573175735.745308,6.652802,2.856260,6.668556,2.865742,3.055973,6.708036,2.969769
3573175735.755308,6.651583,2.856568,6.666148,2.867862,3.056286,6.705489,2.969987
3573175735.765308,6.650364,2.856875,6.663800,2.869941,3.056607,6.702874,2.970210
3573175735.775310,6.649145,2.857181,6.661500,2.871976,3.056935,6.700199,2.970438
3573175735.785309,6.647925,2.857486,6.659245,2.873970,3.057266,6.697505,2.970666
3573175735.795310,6.646705,2.857790,6.657035,2.875922,3.057598,6.694800,2.970894
3573175735.805310,6.645485,2.858093,6.654870,2.877835,3.057930,6.692090,2.971122
3573175735.815310,6.644264,2.858395,6.652748,2.879707,3.058263,6.689381,2.971348
3573175735.825310,6.643043,2.858696,6.650668,2.881541,3.058594,6.686676,2.971574
3573175735.835311,6.641822,2.858996,6.648630,2.883336,3.058925,6.683979,2.971798
3573175735.845311,6.640600,2.859295,6.646632,2.885094,3.059254,6.681292,2.972020
3573175735.855312,6.639379,2.859593,6.646842,2.880122,3.059582,6.678619,2.972240
3573175735.865312,6.638157,2.859890,6.647090,2.875113,3.059908,6.675961,2.972458
3573175735.875313,6.636934,2.860185,6.647335,2.870200,3.060232,6.673320,2.972674
3573175735.885312,6.635712,2.860480,6.647575,2.865384,3.060534,6.670850,2.972875
3573175735.895313,6.634489,2.860773,6.647811,2.860662,3.060816,6.668552,2.973061
3573175735.905313,6.633266,2.861065,6.648042,2.856033,3.061076,6.666425,2.973233
3573175735.915315,6.632042,2.861357,6.648269,2.851495,3.061316,6.664468,2.973391
3573175735.925313,6.630819,2.861649,6.648493,2.847047,3.061536,6.662671,2.973535
3573175735.935315,6.629596,2.861942,6.648712,2.842687,3.061737,6.661024,2.973667
3573175735.945314,6.628372,2.862235,6.648928,2.838415,3.061922,6.659520,2.973788
3573175735.955315,6.627149,2.862528,6.647489,2.838673,3.062090,6.658147,2.973897
3573175735.965315,6.625927,2.862823,6.646046,2.839016,3.062242,6.656899,2.973996
3573175735.975316,6.624705,2.863119,6.644633,2.839353,3.062381,6.655766,2.974086
3573175735.985316,6.623483,2.863417,6.643248,2.839685,3.062519,6.654641,2.974176
3573175735.995316,6.622262,2.863717,6.641893,2.840011,3.062657,6.653515,2.974265
3573175736.005316,6.621042,2.864018,6.640565,2.840332,3.062795,6.652385,2.974354
3573175736.015316,6.619823,2.864320,6.639266,2.840646,3.062934,6.651246,2.974444
3573175736.025317,6.618604,2.864624,6.637993,2.840955,3.063075,6.650098,2.974534
3573175736.035316,6.617387,2.864930,6.636747,2.841259,3.063216,6.648943,2.974625
3573175736.045318,6.616170,2.865237,6.635528,2.841557,3.063358,6.647783,2.974716
3573175736.055316,6.614953,2.865545,6.638859,2.844825,3.063500,6.646618,2.974807
3573175736.065317,6.613738,2.865854,6.642216,2.848087,3.063643,6.645452,2.974898
3573175736.075318,6.612523,2.866165,6.645509,2.851286,3.063786,6.644285,2.974990
3573175736.085318,6.611308,2.866477,6.648738,2.854422,3.063904,6.643320,2.975065
3573175736.095318,6.610094,2.866790,6.651905,2.857495,3.063997,6.642558,2.975124
3573175736.105319,6.608881,2.867104,6.655009,2.860507,3.064066,6.641996,2.975168
3573175736.115320,6.607668,2.867419,6.658054,2.863460,3.064110,6.641631,2.975196
3573175736.125319,6.606455,2.867734,6.661038,2.866353,3.064132,6.641453,2.975210
3573175736.135319,6.605242,2.868050,6.663965,2.869188,3.064133,6.641446,2.975210
3573175736.145318,6.604030,2.868365,6.666835,2.871966,3.064114,6.641600,2.975198
3573175736.155320,6.602818,2.868681,6.660841,2.869823,3.064077,6.641901,2.975175
3573175736.165321,6.601607,2.868997,6.654793,2.867624,3.064024,6.642338,2.975141
3573175736.175320,6.600397,2.869312,6.648862,2.865466,3.063955,6.642899,2.975097
