Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573177189.695261,2.749663,-1.973419,3.121430,1.729437,2.511882,3.859866,1.906965
3573177189.705263,2.747891,-1.976973,3.122323,1.730290,2.512354,3.858320,1.908091
3573177189.715261,2.746114,-1.980523,3.123212,1.731142,2.512823,3.856777,1.909214
3573177189.725263,2.744332,-1.984069,3.124096,1.731995,2.513292,3.855239,1.910332
3573177189.735262,2.742546,-1.987612,3.124977,1.732847,2.513758,3.853706,1.911445
3573177189.745263,2.740755,-1.991150,3.125852,1.733700,2.514222,3.852176,1.912555
3573177189.755264,2.738959,-1.994685,3.126724,1.734552,2.514685,3.850651,1.913660
3573177189.765264,2.737158,-1.998215,3.127591,1.735404,2.515146,3.849130,1.914761
3573177189.775263,2.735353,-2.001742,3.128453,1.736256,2.515605,3.847614,1.915858
3573177189.785264,2.733543,-2.005266,3.129312,1.737108,2.516063,3.846101,1.916951
3573177189.795264,2.731729,-2.008785,3.130166,1.737960,2.516518,3.844593,1.918040
3573177189.805265,2.729911,-2.012301,3.131015,1.738812,2.516972,3.843089,1.919125
3573177189.815267,2.728088,-2.015813,3.131861,1.739664,2.517424,3.841589,1.920206
3573177189.825265,2.726262,-2.019322,3.132702,1.740515,2.517875,3.840094,1.921282
3573177189.835266,2.724431,-2.022826,3.133538,1.741367,2.518323,3.838602,1.922355
3573177189.845266,2.722596,-2.026327,3.134371,1.742219,2.518770,3.837115,1.923423
3573177189.855267,2.720757,-2.029825,3.135199,1.743071,2.519216,3.835632,1.924488
3573177189.865266,2.718914,-2.033319,3.136023,1.743923,2.519659,3.834153,1.925549
3573177189.875267,2.717067,-2.036809,3.136843,1.744775,2.520101,3.832678,1.926606
3573177189.885268,2.715217,-2.040296,3.137658,1.745626,2.520541,3.831207,1.927658
3573177189.895267,2.713363,-2.043779,3.138469,1.746478,2.520980,3.829740,1.928707
3573177189.905268,2.711505,-2.047258,3.139276,1.747331,2.521417,3.828278,1.929752
3573177189.915268,2.709643,-2.050734,3.140079,1.748183,2.521852,3.826819,1.930794
3573177189.925267,2.707778,-2.054207,3.140877,1.749035,2.522286,3.825364,1.931831
3573177189.935268,2.705910,-2.057676,3.141671,1.749887,2.522718,3.823914,1.932865
3573177189.945270,2.704038,-2.061141,3.142461,1.750740,2.523148,3.822467,1.933895
3573177189.955269,2.702163,-2.064603,3.143247,1.751592,2.523577,3.821024,1.934921
3573177189.965269,2.700285,-2.068062,3.144028,1.752445,2.524004,3.819586,1.935943
3573177189.975269,2.698404,-2.071517,3.144806,1.753298,2.524430,3.818151,1.936962
3573177189.985270,2.696519,-2.074969,3.145579,1.754151,2.524854,3.816720,1.937976
3573177189.995269,2.694631,-2.078417,3.146348,1.755004,2.525276,3.815294,1.938988
3573177190.005270,2.692741,-2.081862,3.147112,1.755857,2.525697,3.813871,1.939995
3573177190.015270,2.690848,-2.085304,3.147873,1.756711,2.526117,3.812452,1.940999
3573177190.025271,2.688951,-2.088742,3.148629,1.757564,2.526535,3.811036,1.941999
3573177190.035270,2.687052,-2.092177,3.149381,1.758418,2.526951,3.809625,1.942996
3573177190.045271,2.685151,-2.095608,3.150130,1.759272,2.527366,3.808218,1.943989
3573177190.055272,2.683246,-2.099037,3.150873,1.760126,2.527779,3.806814,1.944978
3573177190.065273,2.681340,-2.102462,3.151613,1.760981,2.528190,3.805414,1.945964
3573177190.075271,2.679430,-2.105883,3.152349,1.761835,2.528601,3.804018,1.946946
3573177190.085272,2.677519,-2.109302,3.153080,1.762690,2.529009,3.802626,1.947925
3573177190.095274,2.675604,-2.112717,3.153808,1.763545,2.529417,3.801237,1.948901
3573177190.105273,2.673688,-2.116129,3.154531,1.764400,2.529822,3.799853,1.949873
3573177190.115273,2.671770,-2.119538,3.155250,1.765256,2.530227,3.798472,1.950841
3573177190.125273,2.669849,-2.122944,3.155965,1.766112,2.530630,3.797094,1.951806
3573177190.135273,2.667926,-2.126346,3.156676,1.766968,2.531031,3.795721,1.952768
3573177190.145273,2.666001,-2.129746,3.157383,1.767824,2.531431,3.794351,1.953726
3573177190.155274,2.664075,-2.133142,3.158085,1.768680,2.531829,3.792985,1.954680
3573177190.165275,2.662146,-2.136535,3.158784,1.769537,2.532226,3.791622,1.955632
3573177190.175273,2.660216,-2.139925,3.159479,1.770394,2.532622,3.790263,1.956580
3573177190.185277,2.658284,-2.143312,3.160169,1.771252,2.533016,3.788908,1.957525
3573177190.195274,2.656350,-2.146696,3.160855,1.772109,2.533409,3.787556,1.958466
3573177190.205276,2.654414,-2.150077,3.161538,1.772967,2.533801,3.786208,1.959404
3573177190.215276,2.652478,-2.153455,3.162216,1.773825,2.534191,3.784864,1.960339
3573177190.225276,2.650539,-2.156830,3.162890,1.774684,2.534579,3.783523,1.961271
3573177190.235277,2.648599,-2.160201,3.163560,1.775542,2.534967,3.782186,1.962199
3573177190.245278,2.646658,-2.163570,3.164227,1.776402,2.535353,3.780852,1.963124
3573177190.255278,2.644716,-2.166936,3.164889,1.777261,2.535737,3.779521,1.964046
3573177190.265276,2.642772,-2.170299,3.165547,1.778121,2.536120,3.778195,1.964965
3573177190.275277,2.640828,-2.173659,3.166201,1.778981,2.536502,3.776871,1.965881
3573177190.285277,2.638882,-2.177016,3.166851,1.779841,2.536883,3.775551,1.966793
