Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573173923.966463,0.934413,1.079590,1.101757,0.664085,-1.994266,3.126912,0.575563
3573173923.976462,0.936180,1.088099,1.102169,0.670728,-1.994691,3.127182,0.576162
3573173923.986464,0.938007,1.096633,1.102610,0.677401,-1.995124,3.127458,0.576773
3573173923.996465,0.939895,1.105191,1.103080,0.684104,-1.995565,3.127739,0.577395
3573173924.006464,0.941843,1.113773,1.103579,0.690836,-1.996015,3.128025,0.578028
3573173924.016465,0.943854,1.122376,1.104107,0.697599,-1.996472,3.128318,0.578673
3573173924.026464,0.945926,1.131001,1.104666,0.704390,-1.996938,3.128616,0.579330
3573173924.036466,0.948061,1.139646,1.105256,0.711210,-1.997412,3.128919,0.579998
3573173924.046465,0.950259,1.148310,1.105878,0.718059,-1.997894,3.129228,0.580678
3573173924.056467,0.952520,1.156993,1.106531,0.724937,-1.998384,3.129543,0.581369
3573173924.066466,0.954845,1.165692,1.107217,0.731842,-1.998883,3.129864,0.582073
3573173924.076467,0.957233,1.174408,1.107936,0.738776,-1.999390,3.130191,0.582788
3573173924.086466,0.959686,1.183139,1.108689,0.745737,-1.999905,3.130523,0.583515
3573173924.096467,0.962203,1.191884,1.109475,0.752724,-2.000429,3.130861,0.584254
3573173924.106467,0.964784,1.200643,1.110297,0.759739,-2.000961,3.131206,0.585005
3573173924.116468,0.967431,1.209414,1.111153,0.766780,-2.001501,3.131556,0.585767
3573173924.126463,0.970142,1.218196,1.112046,0.773847,-2.002050,3.131912,0.586542
3573173924.136468,0.972920,1.226989,1.112974,0.780940,-2.002607,3.132274,0.587329
3573173924.146467,0.975762,1.235791,1.113939,0.788058,-2.003173,3.132643,0.588127
3573173924.156467,0.978670,1.244601,1.114941,0.795201,-2.003747,3.133017,0.588938
3573173924.166469,0.981645,1.253419,1.115981,0.802368,-2.004329,3.133398,0.589761
3573173924.176470,0.984685,1.262243,1.117059,0.809560,-2.004920,3.133784,0.590596
3573173924.186470,0.987791,1.271072,1.118175,0.816775,-2.005520,3.134177,0.591443
3573173924.196470,0.990963,1.279907,1.119330,0.824013,-2.006128,3.134577,0.592302
3573173924.206470,0.994202,1.288745,1.120525,0.831274,-2.006744,3.134982,0.593173
3573173924.216471,0.997507,1.297585,1.121759,0.838557,-2.007369,3.135394,0.594056
3573173924.226465,1.000878,1.306428,1.123034,0.845862,-2.008003,3.135812,0.594952
3573173924.236472,1.004315,1.315271,1.124349,0.853189,-2.008644,3.136237,0.595859
3573173924.246471,1.007819,1.324114,1.125706,0.860536,-2.009295,3.136667,0.596779
3573173924.256471,1.011389,1.332957,1.127104,0.867904,-2.009954,3.137105,0.597711
3573173924.266473,1.015026,1.341797,1.128544,0.875292,-2.010621,3.137549,0.598655
3573173924.276472,1.018729,1.350635,1.130026,0.882699,-2.011297,3.137999,0.599611
3573173924.286472,1.022497,1.359469,1.131550,0.890125,-2.011981,3.138456,0.600580
3573173924.296474,1.026332,1.368299,1.133118,0.897570,-2.012674,3.138919,0.601560
3573173924.306473,1.030234,1.377124,1.134729,0.905033,-2.013375,3.139389,0.602553
3573173924.316473,1.034201,1.385942,1.136384,0.912513,-2.014085,3.139866,0.603557
3573173924.326472,1.038233,1.394753,1.138082,0.920010,-2.014803,3.140349,0.604574
3573173924.336474,1.042332,1.403556,1.139825,0.927523,-2.015530,3.140839,0.605603
3573173924.346474,1.046496,1.412351,1.141613,0.935053,-2.016265,3.141336,0.606644
3573173924.356474,1.050725,1.421136,1.143445,0.942597,-2.017008,3.141839,0.607698
3573173924.366476,1.055020,1.429911,1.145323,0.950157,-2.017760,3.142349,0.608763
3573173924.376476,1.059379,1.438675,1.147246,0.957731,-2.018520,3.142866,0.609840
3573173924.386475,1.063803,1.447427,1.149215,0.965319,-2.019288,3.143390,0.610929
3573173924.396476,1.068292,1.456166,1.151231,0.972920,-2.020065,3.143920,0.612031
3573173924.406476,1.072845,1.464892,1.153292,0.980533,-2.020850,3.144457,0.613144
3573173924.416475,1.077462,1.473604,1.155400,0.988159,-2.021643,3.145002,0.614269
3573173924.426470,1.082143,1.482301,1.157555,0.995796,-2.022445,3.145553,0.615406
3573173924.436477,1.086888,1.490982,1.159757,1.003445,-2.023255,3.146111,0.616555
3573173924.446477,1.091696,1.499646,1.162006,1.011104,-2.024072,3.146675,0.617716
3573173924.456476,1.096567,1.508294,1.164303,1.018773,-2.024899,3.147247,0.618888
3573173924.466478,1.101500,1.516924,1.166647,1.026451,-2.025733,3.147826,0.620073
3573173924.476479,1.106496,1.525535,1.169039,1.034138,-2.026575,3.148412,0.621269
3573173924.486477,1.111554,1.534127,1.171479,1.041833,-2.027425,3.149004,0.622477
3573173924.496479,1.116674,1.542699,1.173968,1.049536,-2.028284,3.149604,0.623696
3573173924.506477,1.121855,1.551250,1.176505,1.057247,-2.029150,3.150211,0.624927
3573173924.516479,1.127097,1.559781,1.179090,1.064964,-2.030025,3.150825,0.626170
3573173924.526479,1.132400,1.568289,1.181724,1.072687,-2.030907,3.151446,0.627424
3573173924.536480,1.137763,1.576775,1.184407,1.080415,-2.031797,3.152074,0.628690
3573173924.546481,1.143186,1.585238,1.187138,1.088148,-2.032695,3.152709,0.629967
3573173924.556480,1.148668,1.593677,1.189919,1.095886,-2.033601,3.153351,0.631256
3573173924.566479,1.154210,1.602092,1.192749,1.103628,-2.034514,3.154000,0.632556
3573173924.576480,1.159810,1.610482,1.195628,1.111373,-2.035436,3.154657,0.633867
3573173924.586481,1.165468,1.618846,1.198556,1.119120,-2.036365,3.155320,0.635189
3573173924.596481,1.171184,1.627185,1.201534,1.126870,-2.037301,3.155991,0.636523
3573173924.606482,1.176958,1.635496,1.204561,1.134621,-2.038246,3.156669,0.637868
3573173924.616483,1.182788,1.643781,1.207638,1.142373,-2.039197,3.157354,0.639224
3573173924.626480,1.188675,1.652038,1.210764,1.150126,-2.040157,3.158047,0.640591
3573173924.636483,1.194617,1.660267,1.213940,1.157879,-2.041123,3.158746,0.641968
3573173924.646483,1.200616,1.668466,1.217165,1.165631,-2.042097,3.159453,0.643357
