Absolute Time,x_in,y_in,x_hat,y_hat
3573171733.112843,3.956622,-7.893476,3.240598,-7.773640
3573171733.122840,3.952788,-7.878822,3.234051,-7.761806
3573171733.132845,3.948883,-7.864202,3.227421,-7.750048
3573171733.142845,3.944906,-7.849617,3.220709,-7.738369
3573171733.152845,3.940857,-7.835066,3.213917,-7.726768
3573171733.162846,3.936735,-7.820552,3.207044,-7.715245
3573171733.172843,3.932541,-7.806075,3.200094,-7.703801
3573171733.182847,3.928274,-7.791634,3.193067,-7.692436
3573171733.192846,3.923934,-7.777232,3.185964,-7.681150
3573171733.202847,3.919520,-7.762869,3.178787,-7.669945
3573171733.212847,3.915032,-7.748545,3.171537,-7.658818
3573171733.222841,3.910470,-7.734262,3.164216,-7.647773
3573171733.232848,3.905834,-7.720020,3.156824,-7.636807
3573171733.242847,3.901124,-7.705819,3.149364,-7.625921
3573171733.252849,3.896339,-7.691662,3.141835,-7.615117
3573171733.262848,3.891478,-7.677547,3.134241,-7.604393
3573171733.272850,3.886543,-7.663477,3.126582,-7.593749
3573171733.282850,3.881532,-7.649452,3.118859,-7.583187
3573171733.292849,3.876446,-7.635473,3.111073,-7.572705
3573171733.302850,3.871285,-7.621541,3.103226,-7.562304
3573171733.312850,3.866047,-7.607656,3.095320,-7.551985
3573171733.322845,3.860734,-7.593819,3.087355,-7.541746
3573171733.332851,3.855345,-7.580031,3.079332,-7.531588
3573171733.342852,3.849880,-7.566293,3.071254,-7.521512
3573171733.352850,3.844339,-7.552606,3.063120,-7.511516
3573171733.362852,3.838722,-7.538971,3.054933,-7.501601
3573171733.372850,3.833028,-7.525388,3.046693,-7.491768
3573171733.382853,3.827259,-7.511858,3.038402,-7.482015
3573171733.392851,3.821413,-7.498382,3.030060,-7.472343
3573171733.402852,3.815491,-7.484961,3.021670,-7.462752
3573171733.412854,3.809494,-7.471596,3.013231,-7.453242
3573171733.422848,3.803420,-7.458287,3.004746,-7.443812
3573171733.432855,3.797270,-7.445036,2.996215,-7.434463
3573171733.442854,3.791044,-7.431842,2.987639,-7.425195
3573171733.452855,3.784742,-7.418708,2.979020,-7.416007
3573171733.462854,3.778365,-7.405634,2.970358,-7.406899
3573171733.472853,3.771912,-7.392620,2.961654,-7.397872
3573171733.482856,3.765384,-7.379668,2.952910,-7.388925
3573171733.492856,3.758781,-7.366778,2.944127,-7.380059
3573171733.502856,3.752102,-7.353951,2.935305,-7.371272
3573171733.512856,3.745349,-7.341188,2.926445,-7.362566
3573171733.522851,3.738521,-7.328490,2.917549,-7.353940
3573171733.532856,3.731619,-7.315857,2.908617,-7.345394
3573171733.542857,3.724643,-7.303290,2.899650,-7.336928
3573171733.552857,3.717592,-7.290791,2.890649,-7.328542
3573171733.562858,3.710469,-7.278360,2.881615,-7.320235
3573171733.572857,3.703272,-7.265997,2.872549,-7.312009
3573171733.582858,3.696002,-7.253704,2.863451,-7.303862
3573171733.592859,3.688659,-7.241480,2.854323,-7.295796
3573171733.602859,3.681244,-7.229328,2.845165,-7.287809
3573171733.612859,3.673757,-7.217248,2.835978,-7.279902
3573171733.622854,3.666199,-7.205240,2.826763,-7.272076
3573171733.632859,3.658569,-7.193305,2.817521,-7.264329
3573171733.642860,3.650869,-7.181445,2.808252,-7.256662
3573171733.652860,3.643098,-7.169659,2.798958,-7.249075
3573171733.662861,3.635257,-7.157949,2.789638,-7.241569
3573171733.672859,3.627347,-7.146314,2.780294,-7.234142
3573171733.682862,3.619368,-7.134757,2.770926,-7.226796
3573171733.692862,3.611320,-7.123277,2.761535,-7.219531
3573171733.702862,3.603205,-7.111876,2.752122,-7.212346
3573171733.712862,3.595022,-7.100554,2.742687,-7.205241
3573171733.722857,3.586772,-7.089311,2.733231,-7.198218
3573171733.732862,3.578455,-7.078149,2.723755,-7.191275
3573171733.742863,3.570073,-7.067068,2.714259,-7.184414
3573171733.752863,3.561625,-7.056069,2.704745,-7.177634
3573171733.762863,3.553112,-7.045152,2.695212,-7.170935
3573171733.772863,3.544535,-7.034318,2.685661,-7.164318
3573171733.782865,3.535895,-7.023568,2.676093,-7.157783
3573171733.792865,3.527191,-7.012902,2.666509,-7.151331
3573171733.802865,3.518425,-7.002322,2.656909,-7.144960
3573171733.812865,3.509598,-6.991827,2.647293,-7.138673
3573171733.822861,3.500709,-6.981418,2.637663,-7.132468
3573171733.832865,3.491760,-6.971096,2.628019,-7.126346
3573171733.842866,3.482751,-6.960862,2.618362,-7.120308
3573171733.852866,3.473683,-6.950716,2.608692,-7.114354
3573171733.862867,3.464557,-6.940659,2.599009,-7.108484
3573171733.872866,3.455373,-6.930691,2.589315,-7.102698
3573171733.882867,3.446132,-6.920812,2.579610,-7.096997
3573171733.892867,3.436835,-6.911025,2.569894,-7.091381
3573171733.902868,3.427482,-6.901328,2.560169,-7.085850
3573171733.912868,3.418074,-6.891724,2.550434,-7.080406
3573171733.922863,3.408613,-6.882211,2.540691,-7.075047
3573171733.932868,3.399098,-6.872791,2.530939,-7.069775
3573171733.942869,3.389531,-6.863465,2.521180,-7.064590
3573171733.952869,3.379912,-6.854232,2.511415,-7.059492
3573171733.962870,3.370242,-6.845094,2.501643,-7.054482
3573171733.972868,3.360522,-6.836050,2.491865,-7.049560
3573171733.982870,3.350753,-6.827102,2.482083,-7.044727
3573171733.992870,3.340935,-6.818251,2.472296,-7.039982
3573171734.002871,3.331070,-6.809495,2.462505,-7.035327
3573171734.012871,3.321158,-6.800837,2.452711,-7.030761
3573171734.022866,3.311200,-6.792276,2.442915,-7.026286
3573171734.032872,3.301197,-6.783813,2.433117,-7.021902
3573171734.042872,3.291150,-6.775449,2.423318,-7.017608
3573171734.052872,3.281060,-6.767183,2.413518,-7.013406
3573171734.062873,3.270927,-6.759017,2.403719,-7.009296
3573171734.072872,3.260752,-6.750951,2.393920,-7.005278
3573171734.082873,3.250537,-6.742986,2.384123,-7.001353
3573171734.092873,3.240283,-6.735121,2.374328,-6.997522
3573171734.102874,3.229989,-6.727358,2.364536,-6.993784
3573171734.112874,3.219658,-6.719696,2.354748,-6.990140
3573171734.122869,3.209290,-6.712136,2.344964,-6.986591
3573171734.132874,3.198885,-6.704679,2.335185,-6.983137
3573171734.142875,3.188446,-6.697326,2.325411,-6.979778
3573171734.152876,3.177972,-6.690075,2.315645,-6.976515
3573171734.162876,3.167466,-6.682929,2.305885,-6.973349
3573171734.172874,3.156927,-6.675886,2.296134,-6.970279
3573171734.182878,3.146357,-6.668949,2.286392,-6.967306
3573171734.192876,3.135756,-6.662116,2.276659,-6.964431
3573171734.202877,3.125127,-6.655389,2.266937,-6.961654
3573171734.212878,3.114469,-6.648768,2.257225,-6.958975
3573171734.222872,3.103783,-6.642253,2.247526,-6.956395
3573171734.232877,3.093072,-6.635844,2.237840,-6.953914
3573171734.242878,3.082335,-6.629543,2.228167,-6.951533
3573171734.252876,3.071574,-6.623349,2.218509,-6.949252
3573171734.262877,3.060790,-6.617262,2.208867,-6.947070
3573171734.272878,3.049983,-6.611284,2.199241,-6.944990
3573171734.282879,3.039155,-6.605414,2.189631,-6.943010
3573171734.292879,3.028307,-6.599652,2.180040,-6.941131
3573171734.302880,3.017440,-6.593999,2.170468,-6.939354
3573171734.312880,3.006555,-6.588456,2.160915,-6.937679
3573171734.322876,2.995652,-6.583023,2.151384,-6.936106
3573171734.332880,2.984734,-6.577699,2.141874,-6.934636
3573171734.342881,2.973801,-6.572485,2.132386,-6.933268
3573171734.352880,2.962853,-6.567382,2.122922,-6.932003
3573171734.362882,2.951893,-6.562390,2.113483,-6.930841
3573171734.372880,2.940921,-6.557508,2.104069,-6.929783
3573171734.382883,2.929939,-6.552738,2.094682,-6.928828
3573171734.392882,2.918946,-6.548080,2.085321,-6.927977
3573171734.402883,2.907946,-6.543533,2.075990,-6.927230
3573171734.412883,2.896937,-6.539099,2.066687,-6.926588
3573171734.422878,2.885923,-6.534776,2.057415,-6.926049
3573171734.432885,2.874903,-6.530566,2.048175,-6.925615
3573171734.442884,2.863878,-6.526469,2.038967,-6.925286
3573171734.452884,2.852851,-6.522485,2.029792,-6.925061
3573171734.462885,2.841821,-6.518614,2.020652,-6.924941
3573171734.472882,2.830791,-6.514856,2.011547,-6.924926
3573171734.482885,2.819761,-6.511211,2.002479,-6.925016
3573171734.492885,2.808732,-6.507681,1.993448,-6.925210
3573171734.502886,2.797705,-6.504264,1.984456,-6.925510
3573171734.512887,2.786682,-6.500961,1.975504,-6.925914
3573171734.522881,2.775663,-6.497772,1.966593,-6.926423
3573171734.532887,2.764650,-6.494698,1.957723,-6.927037
3573171734.542887,2.753644,-6.491737,1.948896,-6.927756
3573171734.552887,2.742646,-6.488892,1.940114,-6.928579
3573171734.562888,2.731656,-6.486161,1.931376,-6.929508
3573171734.572887,2.720677,-6.483545,1.922685,-6.930540
3573171734.582888,2.709709,-6.481044,1.914040,-6.931677
3573171734.592888,2.698754,-6.478658,1.905445,-6.932918
3573171734.602889,2.687812,-6.476386,1.896898,-6.934263
3573171734.612888,2.676885,-6.474230,1.888402,-6.935712
3573171734.622884,2.665973,-6.472189,1.879958,-6.937264
3573171734.632889,2.655078,-6.470264,1.871566,-6.938920
3573171734.642889,2.644201,-6.468453,1.863228,-6.940679
3573171734.652890,2.633344,-6.466758,1.854945,-6.942540
3573171734.662891,2.622506,-6.465179,1.846718,-6.944504
