Absolute Time,x_in,y_in,x_hat,y_hat
3573171263.824826,12.349636,-0.976080,11.667640,-0.715001
3573171263.834826,12.351829,-0.981476,11.672124,-0.716236
3573171263.844827,12.353972,-0.986896,11.676584,-0.717497
3573171263.854827,12.356064,-0.992340,11.681020,-0.718784
3573171263.864827,12.358107,-0.997808,11.685430,-0.720096
3573171263.874828,12.360099,-1.003300,11.689815,-0.721435
3573171263.884828,12.362040,-1.008815,11.694175,-0.722799
3573171263.894829,12.363932,-1.014354,11.698510,-0.724189
3573171263.904829,12.365772,-1.019915,11.702819,-0.725605
3573171263.914825,12.367562,-1.025500,11.707102,-0.727047
3573171263.924829,12.369300,-1.031107,11.711359,-0.728515
3573171263.934830,12.370988,-1.036737,11.715589,-0.730009
3573171263.944830,12.372625,-1.042388,11.719794,-0.731529
3573171263.954830,12.374211,-1.048062,11.723972,-0.733074
3573171263.964830,12.375746,-1.053756,11.728123,-0.734645
3573171263.974831,12.377229,-1.059473,11.732247,-0.736243
3573171263.984831,12.378661,-1.065210,11.736344,-0.737866
3573171263.994831,12.380042,-1.070969,11.740415,-0.739514
3573171264.004832,12.381372,-1.076747,11.744457,-0.741189
3573171264.014827,12.382649,-1.082547,11.748472,-0.742890
3573171264.024833,12.383876,-1.088366,11.752460,-0.744616
3573171264.034832,12.385050,-1.094205,11.756419,-0.746368
3573171264.044833,12.386174,-1.100064,11.760350,-0.748145
3573171264.054834,12.387245,-1.105942,11.764253,-0.749949
3573171264.064833,12.388265,-1.111839,11.768128,-0.751778
3573171264.074834,12.389232,-1.117754,11.771974,-0.753633
3573171264.084834,12.390148,-1.123689,11.775791,-0.755513
3573171264.094834,12.391013,-1.129641,11.779580,-0.757419
3573171264.104836,12.391825,-1.135612,11.783339,-0.759350
3573171264.114831,12.392585,-1.141600,11.787069,-0.761307
3573171264.124835,12.393294,-1.147606,11.790770,-0.763289
3573171264.134835,12.393950,-1.153629,11.794441,-0.765297
3573171264.144836,12.394555,-1.159669,11.798083,-0.767330
3573171264.154835,12.395108,-1.165726,11.801694,-0.769389
