Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573175129.972647,1.164681,-0.569247,1.163529,-0.567500,-1.253287,1.094451,-0.580355
3573175129.982645,1.164841,-0.570258,1.163713,-0.568475,-1.252789,1.094759,-0.581293
3573175129.992646,1.165001,-0.571269,1.163898,-0.569451,-1.252291,1.095069,-0.582231
3573175130.002641,1.165161,-0.572281,1.164083,-0.570427,-1.251793,1.095378,-0.583169
3573175130.012646,1.165322,-0.573293,1.164268,-0.571404,-1.251295,1.095688,-0.584108
3573175130.022646,1.165482,-0.574305,1.164453,-0.572380,-1.250797,1.095999,-0.585046
3573175130.032646,1.165644,-0.575318,1.164638,-0.573358,-1.250299,1.096311,-0.585985
3573175130.042649,1.165805,-0.576332,1.164824,-0.574336,-1.249801,1.096622,-0.586924
3573175130.052649,1.165967,-0.577346,1.165010,-0.575314,-1.249303,1.096935,-0.587863
3573175130.062648,1.166129,-0.578360,1.165197,-0.576293,-1.248805,1.097248,-0.588803
3573175130.072649,1.166291,-0.579375,1.165383,-0.577272,-1.248307,1.097562,-0.589742
3573175130.082649,1.166453,-0.580390,1.165570,-0.578252,-1.247809,1.097876,-0.590682
3573175130.092649,1.166616,-0.581406,1.165757,-0.579232,-1.247311,1.098191,-0.591621
3573175130.102644,1.166779,-0.582422,1.165945,-0.580213,-1.246812,1.098506,-0.592561
3573175130.112649,1.166943,-0.583438,1.166133,-0.581194,-1.246314,1.098822,-0.593502
3573175130.122651,1.167106,-0.584455,1.166321,-0.582176,-1.245816,1.099139,-0.594442
3573175130.132649,1.167270,-0.585472,1.166509,-0.583158,-1.245318,1.099456,-0.595382
3573175130.142651,1.167434,-0.586490,1.166698,-0.584140,-1.244820,1.099773,-0.596323
3573175130.152650,1.167599,-0.587508,1.166886,-0.585123,-1.244321,1.100092,-0.597264
3573175130.162650,1.167764,-0.588526,1.167075,-0.586106,-1.243823,1.100411,-0.598204
3573175130.172651,1.167929,-0.589545,1.167265,-0.587090,-1.243325,1.100730,-0.599145
3573175130.182652,1.168094,-0.590565,1.167455,-0.588074,-1.242827,1.101050,-0.600087
3573175130.192652,1.168260,-0.591585,1.167644,-0.589059,-1.242328,1.101371,-0.601028
