Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573173606.919979,5.109884,-4.130157,4.669626,-4.287961,0.658919,1.680195,-0.542436
3573173606.929980,5.088291,-4.128983,4.649091,-4.294119,0.658664,1.679934,-0.542637
3573173606.939979,5.066518,-4.128588,4.628563,-4.300919,0.658393,1.679657,-0.542852
3573173606.949980,5.044580,-4.128990,4.608053,-4.308379,0.658106,1.679362,-0.543080
3573173606.959980,5.022493,-4.130205,4.587578,-4.316517,0.657801,1.679050,-0.543321
3573173606.969980,5.000275,-4.132252,4.567152,-4.325348,0.657479,1.678720,-0.543576
3573173606.979977,4.977946,-4.135146,4.546794,-4.334891,0.657139,1.678371,-0.543845
3573173606.989981,4.955526,-4.138904,4.526526,-4.345160,0.656781,1.678004,-0.544129
3573173606.999979,4.933038,-4.143542,4.506369,-4.356173,0.656404,1.677617,-0.544427
3573173607.009982,4.910507,-4.149073,4.486348,-4.367943,0.656009,1.677210,-0.544740
3573173607.019982,4.887957,-4.155513,4.466488,-4.380484,0.655594,1.676782,-0.545069
3573173607.029983,4.865416,-4.162873,4.446819,-4.393809,0.655160,1.676335,-0.545413
3573173607.039982,4.842914,-4.171165,4.427369,-4.407929,0.654706,1.675866,-0.545773
3573173607.049983,4.820481,-4.180400,4.408170,-4.422855,0.654232,1.675375,-0.546150
3573173607.059983,4.798149,-4.190587,4.389256,-4.438593,0.653737,1.674863,-0.546542
3573173607.069983,4.775953,-4.201733,4.370660,-4.455152,0.653222,1.674329,-0.546951
3573173607.079979,4.753928,-4.213844,4.352419,-4.472536,0.652686,1.673772,-0.547377
3573173607.089985,4.732110,-4.226926,4.334570,-4.490748,0.652129,1.673193,-0.547820
3573173607.099984,4.710539,-4.240980,4.317152,-4.509789,0.651550,1.672590,-0.548280
3573173607.109986,4.689253,-4.256006,4.300204,-4.529658,0.650951,1.671964,-0.548757
3573173607.119985,4.668293,-4.272004,4.283767,-4.550353,0.650329,1.671315,-0.549251
3573173607.129986,4.647702,-4.288971,4.267882,-4.571867,0.649687,1.670641,-0.549763
3573173607.139985,4.627522,-4.306899,4.252592,-4.594194,0.649022,1.669944,-0.550292
3573173607.149987,4.607797,-4.325783,4.237939,-4.617324,0.648336,1.669223,-0.550839
3573173607.159986,4.588572,-4.345610,4.223968,-4.641244,0.647629,1.668478,-0.551403
3573173607.169986,4.569893,-4.366370,4.210722,-4.665940,0.646900,1.667709,-0.551985
3573173607.179982,4.551805,-4.388046,4.198244,-4.691395,0.646149,1.666915,-0.552584
3573173607.189986,4.534354,-4.410621,4.186580,-4.717589,0.645378,1.666097,-0.553200
3573173607.199987,4.517588,-4.434075,4.175774,-4.744499,0.644585,1.665255,-0.553833
3573173607.209989,4.501552,-4.458386,4.165869,-4.772102,0.643772,1.664390,-0.554483
3573173607.219988,4.486293,-4.483528,4.156911,-4.800369,0.642939,1.663500,-0.555150
3573173607.229987,4.471858,-4.509474,4.148942,-4.829270,0.642085,1.662587,-0.555834
3573173607.239988,4.458291,-4.536191,4.142005,-4.858772,0.641212,1.661651,-0.556533
3573173607.249989,4.445640,-4.563649,4.136143,-4.888839,0.640319,1.660691,-0.557249
3573173607.259990,4.433947,-4.591809,4.131397,-4.919433,0.639409,1.659710,-0.557979
3573173607.269990,4.423257,-4.620634,4.127808,-4.950512,0.638480,1.658706,-0.558725
3573173607.279986,4.413612,-4.650083,4.125414,-4.982031,0.637533,1.657680,-0.559485
3573173607.289990,4.405052,-4.680111,4.124253,-5.013944,0.636570,1.656634,-0.560260
3573173607.299989,4.397618,-4.710673,4.124362,-5.046199,0.635591,1.655567,-0.561047
3573173607.309990,4.391347,-4.741718,4.125774,-5.078745,0.634597,1.654481,-0.561848
3573173607.319990,4.386274,-4.773197,4.128521,-5.111524,0.633588,1.653376,-0.562661
3573173607.329991,4.382435,-4.805054,4.132634,-5.144480,0.632565,1.652253,-0.563485
3573173607.339991,4.379858,-4.837234,4.138140,-5.177549,0.631531,1.651113,-0.564320
3573173607.349991,4.378575,-4.869678,4.145063,-5.210669,0.630484,1.649956,-0.565165
3573173607.359993,4.378610,-4.902326,4.153424,-5.243773,0.629427,1.648785,-0.566019
3573173607.369992,4.379987,-4.935116,4.163242,-5.276792,0.628361,1.647599,-0.566881
3573173607.379989,4.382725,-4.967983,4.174532,-5.309655,0.627286,1.646401,-0.567751
3573173607.389993,4.386842,-5.000862,4.187305,-5.342289,0.626204,1.645191,-0.568627
3573173607.399991,4.392352,-5.033686,4.201567,-5.374618,0.625116,1.643970,-0.569509
3573173607.409992,4.399262,-5.066386,4.217323,-5.406566,0.624024,1.642741,-0.570395
3573173607.419993,4.407581,-5.098893,4.234569,-5.438056,0.622928,1.641504,-0.571285
3573173607.429994,4.417309,-5.131136,4.253302,-5.469007,0.621830,1.640260,-0.572177
3573173607.439994,4.428446,-5.163046,4.273509,-5.499340,0.620731,1.639012,-0.573071
3573173607.449995,4.440985,-5.194551,4.295175,-5.528974,0.619633,1.637760,-0.573964
3573173607.459996,4.454916,-5.225580,4.318280,-5.557828,0.618536,1.636507,-0.574857
3573173607.469995,4.470225,-5.256062,4.342799,-5.585823,0.617443,1.635254,-0.575748
3573173607.479990,4.486894,-5.285928,4.368699,-5.612877,0.616355,1.634003,-0.576636
3573173607.489996,4.504899,-5.315108,4.395945,-5.638912,0.615273,1.632754,-0.577519
3573173607.499995,4.524215,-5.343534,4.424497,-5.663850,0.614199,1.631511,-0.578397
3573173607.509997,4.544809,-5.371139,4.454306,-5.687615,0.613133,1.630275,-0.579268
3573173607.519996,4.566648,-5.397859,4.485321,-5.710133,0.612079,1.629047,-0.580131
3573173607.529998,4.589691,-5.423630,4.517487,-5.731334,0.611036,1.627829,-0.580984
3573173607.539998,4.613896,-5.448393,4.550740,-5.751148,0.610006,1.626624,-0.581828
3573173607.549997,4.639216,-5.472089,4.585014,-5.769511,0.608991,1.625432,-0.582660
3573173607.559998,4.665600,-5.494663,4.620238,-5.786362,0.607992,1.624255,-0.583480
3573173607.569999,4.692996,-5.516065,4.656337,-5.801645,0.607011,1.623096,-0.584286
3573173607.579997,4.721346,-5.536245,4.693232,-5.815306,0.606048,1.621956,-0.585077
3573173607.589999,4.750592,-5.555158,4.730839,-5.827299,0.605106,1.620837,-0.585852
3573173607.599998,4.780670,-5.572764,4.769071,-5.837581,0.604184,1.619740,-0.586610
