Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573178555.236686,-3.493556,2.663597,-3.497822,2.648320,-2.654409,-3.309387,2.248836
3573178555.246687,-3.493965,2.662540,-3.498192,2.647393,-2.654287,-3.309936,2.248545
3573178555.256686,-3.494376,2.661480,-3.498563,2.646464,-2.654164,-3.310486,2.248254
3573178555.266687,-3.494788,2.660420,-3.498935,2.645534,-2.654042,-3.311038,2.247961
3573178555.276688,-3.495200,2.659358,-3.499308,2.644602,-2.653918,-3.311591,2.247668
3573178555.286687,-3.495614,2.658295,-3.499683,2.643669,-2.653795,-3.312146,2.247374
3573178555.296688,-3.496029,2.657230,-3.500058,2.642735,-2.653671,-3.312702,2.247079
3573178555.306688,-3.496445,2.656164,-3.500435,2.641799,-2.653547,-3.313259,2.246783
3573178555.316689,-3.496863,2.655097,-3.500813,2.640862,-2.653422,-3.313818,2.246486
3573178555.326689,-3.497281,2.654028,-3.501192,2.639923,-2.653297,-3.314378,2.246189
3573178555.336688,-3.497700,2.652958,-3.501572,2.638983,-2.653172,-3.314940,2.245890
3573178555.346689,-3.498121,2.651887,-3.501953,2.638041,-2.653047,-3.315503,2.245591
3573178555.356689,-3.498543,2.650814,-3.502335,2.637098,-2.652921,-3.316068,2.245291
3573178555.366690,-3.498965,2.649740,-3.502719,2.636154,-2.652794,-3.316634,2.244990
3573178555.376690,-3.499389,2.648665,-3.503104,2.635208,-2.652667,-3.317202,2.244688
3573178555.386690,-3.499814,2.647588,-3.503489,2.634261,-2.652540,-3.317770,2.244385
3573178555.396690,-3.500240,2.646510,-3.503876,2.633312,-2.652413,-3.318341,2.244081
3573178555.406692,-3.500668,2.645430,-3.504264,2.632362,-2.652285,-3.318913,2.243777
3573178555.416691,-3.501096,2.644349,-3.504653,2.631411,-2.652157,-3.319486,2.243472
3573178555.426691,-3.501526,2.643267,-3.505044,2.630458,-2.652029,-3.320061,2.243165
3573178555.436692,-3.501956,2.642184,-3.505435,2.629504,-2.651900,-3.320637,2.242858
3573178555.446693,-3.502388,2.641099,-3.505828,2.628548,-2.651771,-3.321215,2.242550
3573178555.456693,-3.502821,2.640013,-3.506221,2.627591,-2.651641,-3.321794,2.242242
3573178555.466692,-3.503255,2.638926,-3.506616,2.626633,-2.651511,-3.322374,2.241932
3573178555.476693,-3.503690,2.637837,-3.507012,2.625673,-2.651381,-3.322956,2.241621
3573178555.486693,-3.504126,2.636747,-3.507409,2.624712,-2.651250,-3.323539,2.241310
3573178555.496693,-3.504563,2.635656,-3.507807,2.623749,-2.651119,-3.324124,2.240998
3573178555.506694,-3.505002,2.634563,-3.508207,2.622785,-2.650988,-3.324710,2.240685
3573178555.516693,-3.505441,2.633469,-3.508607,2.621820,-2.650856,-3.325298,2.240371
3573178555.526694,-3.505882,2.632374,-3.509009,2.620853,-2.650724,-3.325887,2.240056
3573178555.536695,-3.506323,2.631277,-3.509412,2.619885,-2.650592,-3.326478,2.239740
3573178555.546694,-3.506766,2.630180,-3.509816,2.618915,-2.650459,-3.327070,2.239424
3573178555.556695,-3.507210,2.629081,-3.510221,2.617944,-2.650326,-3.327663,2.239106
3573178555.566693,-3.507655,2.627980,-3.510627,2.616972,-2.650192,-3.328258,2.238788
3573178555.576696,-3.508102,2.626878,-3.511034,2.615998,-2.650058,-3.328854,2.238469
