Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573176840.491700,2.070404,-0.002938,2.203775,0.058806,0.551506,3.579417,-2.094660
3573176840.501701,2.071289,-0.007955,2.205548,0.054673,0.551353,3.578820,-2.095027
3573176840.511701,2.072147,-0.012966,2.207298,0.050531,0.551197,3.578210,-2.095402
3573176840.521701,2.072979,-0.017974,2.209025,0.046380,0.551038,3.577587,-2.095785
3573176840.531702,2.073786,-0.022976,2.210729,0.042220,0.550875,3.576949,-2.096177
3573176840.541697,2.074566,-0.027975,2.212409,0.038050,0.550708,3.576296,-2.096578
3573176840.551702,2.075321,-0.032968,2.214065,0.033872,0.550537,3.575627,-2.096989
3573176840.561702,2.076049,-0.037958,2.215698,0.029684,0.550363,3.574942,-2.097409
3573176840.571702,2.076751,-0.042943,2.217306,0.025488,0.550184,3.574240,-2.097840
3573176840.581703,2.077427,-0.047924,2.218890,0.021283,0.550000,3.573520,-2.098281
3573176840.591703,2.078078,-0.052901,2.220451,0.017068,0.549812,3.572783,-2.098733
3573176840.601704,2.078702,-0.057873,2.221986,0.012846,0.549619,3.572026,-2.099196
3573176840.611703,2.079300,-0.062842,2.223497,0.008614,0.549422,3.571251,-2.099671
3573176840.621705,2.079873,-0.067807,2.224983,0.004374,0.549220,3.570456,-2.100158
3573176840.631705,2.080419,-0.072767,2.226444,0.000125,0.549012,3.569640,-2.100657
3573176840.641699,2.080940,-0.077724,2.227880,-0.004132,0.548799,3.568804,-2.101169
3573176840.651704,2.081435,-0.082677,2.229291,-0.008398,0.548581,3.567946,-2.101693
3573176840.661705,2.081904,-0.087626,2.230677,-0.012673,0.548358,3.567066,-2.102231
3573176840.671705,2.082348,-0.092572,2.232037,-0.016956,0.548129,3.566164,-2.102782
3573176840.681705,2.082765,-0.097514,2.233371,-0.021247,0.547894,3.565239,-2.103346
3573176840.691705,2.083157,-0.102452,2.234680,-0.025546,0.547654,3.564291,-2.103925
3573176840.701706,2.083524,-0.107386,2.235963,-0.029854,0.547407,3.563318,-2.104518
3573176840.711707,2.083865,-0.112317,2.237220,-0.034170,0.547154,3.562321,-2.105125
3573176840.721705,2.084181,-0.117245,2.238451,-0.038495,0.546896,3.561300,-2.105747
3573176840.731706,2.084471,-0.122169,2.239657,-0.042827,0.546631,3.560253,-2.106385
3573176840.741702,2.084736,-0.127090,2.240836,-0.047168,0.546360,3.559180,-2.107037
3573176840.751708,2.084975,-0.132008,2.241988,-0.051516,0.546082,3.558081,-2.107705
3573176840.761707,2.085190,-0.136922,2.243115,-0.055873,0.545797,3.556956,-2.108389
3573176840.771707,2.085379,-0.141833,2.244215,-0.060238,0.545506,3.555803,-2.109089
3573176840.781708,2.085544,-0.146741,2.245288,-0.064610,0.545209,3.554623,-2.109805
3573176840.791708,2.085683,-0.151646,2.246336,-0.068991,0.544904,3.553415,-2.110537
3573176840.801709,2.085798,-0.156547,2.247356,-0.073379,0.544593,3.552179,-2.111286
3573176840.811709,2.085888,-0.161446,2.248350,-0.077775,0.544274,3.550915,-2.112052
3573176840.821710,2.085953,-0.166341,2.249317,-0.082179,0.543949,3.549621,-2.112834
3573176840.831709,2.085994,-0.171234,2.250257,-0.086591,0.543616,3.548298,-2.113634
3573176840.841706,2.086010,-0.176123,2.251171,-0.091010,0.543276,3.546945,-2.114451
3573176840.851710,2.086002,-0.181010,2.252058,-0.095437,0.542929,3.545563,-2.115286
3573176840.861710,2.085970,-0.185894,2.252918,-0.099871,0.542575,3.544149,-2.116138
3573176840.871711,2.085914,-0.190774,2.253751,-0.104313,0.542213,3.542706,-2.117009
3573176840.881711,2.085834,-0.195652,2.254557,-0.108763,0.541844,3.541231,-2.117897
3573176840.891712,2.085730,-0.200527,2.255336,-0.113220,0.541467,3.539725,-2.118803
3573176840.901712,2.085602,-0.205400,2.256088,-0.117684,0.541082,3.538187,-2.119727
3573176840.911710,2.085450,-0.210269,2.256813,-0.122156,0.540690,3.536618,-2.120670
3573176840.921712,2.085275,-0.215136,2.257512,-0.126635,0.540290,3.535016,-2.121631
3573176840.931713,2.085077,-0.219999,2.258183,-0.131121,0.539883,3.533382,-2.122611
3573176840.941708,2.084855,-0.224860,2.258827,-0.135614,0.539468,3.531715,-2.123609
3573176840.951714,2.084610,-0.229719,2.259444,-0.140115,0.539044,3.530016,-2.124626
3573176840.961714,2.084342,-0.234574,2.260034,-0.144622,0.538614,3.528283,-2.125662
3573176840.971712,2.084052,-0.239427,2.260597,-0.149137,0.538175,3.526517,-2.126717
3573176840.981714,2.083738,-0.244277,2.261134,-0.153658,0.537728,3.524717,-2.127790
3573176840.991715,2.083402,-0.249124,2.261643,-0.158186,0.537273,3.522884,-2.128883
3573176841.001715,2.083044,-0.253969,2.262125,-0.162721,0.536811,3.521017,-2.129995
3573176841.011714,2.082663,-0.258811,2.262580,-0.167263,0.536340,3.519115,-2.131126
3573176841.021715,2.082260,-0.263650,2.263009,-0.171812,0.535862,3.517180,-2.132276
3573176841.031714,2.081835,-0.268486,2.263410,-0.176367,0.535375,3.515209,-2.133445
3573176841.041711,2.081388,-0.273319,2.263784,-0.180929,0.534881,3.513205,-2.134634
3573176841.051715,2.080919,-0.278150,2.264132,-0.185497,0.534378,3.511165,-2.135842
3573176841.061715,2.080429,-0.282978,2.264453,-0.190072,0.533867,3.509091,-2.137069
3573176841.071716,2.079918,-0.287802,2.264747,-0.194653,0.533349,3.506981,-2.138315
3573176841.081717,2.079385,-0.292624,2.265015,-0.199240,0.532822,3.504836,-2.139580
3573176841.091716,2.078831,-0.297444,2.265255,-0.203834,0.532287,3.502657,-2.140865
3573176841.101717,2.078256,-0.302260,2.265469,-0.208433,0.531745,3.500441,-2.142169
3573176841.111718,2.077660,-0.307073,2.265657,-0.213039,0.531194,3.498191,-2.143492
3573176841.121718,2.077044,-0.311883,2.265818,-0.217651,0.530635,3.495905,-2.144834
3573176841.131718,2.076407,-0.316690,2.265952,-0.222268,0.530068,3.493583,-2.146196
3573176841.141714,2.075750,-0.321495,2.266060,-0.226892,0.529494,3.491226,-2.147576
3573176841.151719,2.075073,-0.326296,2.266142,-0.231521,0.528911,3.488833,-2.148976
3573176841.161719,2.074376,-0.331093,2.266198,-0.236156,0.528320,3.486404,-2.150394
3573176841.171718,2.073659,-0.335888,2.266227,-0.240796,0.527722,3.483940,-2.151831
3573176841.181719,2.072922,-0.340680,2.266230,-0.245442,0.527115,3.481440,-2.153288
3573176841.191720,2.072166,-0.345468,2.266207,-0.250094,0.526501,3.478904,-2.154763
3573176841.201720,2.071391,-0.350253,2.266158,-0.254750,0.525879,3.476332,-2.156256
3573176841.211720,2.070596,-0.355034,2.266084,-0.259412,0.525249,3.473725,-2.157768
3573176841.221720,2.069783,-0.359812,2.265983,-0.264079,0.524612,3.471082,-2.159299
3573176841.231721,2.068951,-0.364587,2.265857,-0.268751,0.523966,3.468403,-2.160848
3573176841.241715,2.068100,-0.369357,2.265705,-0.273428,0.523313,3.465688,-2.162416
3573176841.251721,2.067230,-0.374125,2.265527,-0.278109,0.522652,3.462938,-2.164001
3573176841.261721,2.066343,-0.378888,2.265324,-0.282796,0.521984,3.460152,-2.165605
3573176841.271720,2.065437,-0.383648,2.265096,-0.287487,0.521308,3.457331,-2.167227
3573176841.281722,2.064514,-0.388404,2.264843,-0.292182,0.520625,3.454474,-2.168866
3573176841.291723,2.063572,-0.393157,2.264564,-0.296882,0.519934,3.451582,-2.170523
3573176841.301723,2.062614,-0.397905,2.264260,-0.301586,0.519236,3.448654,-2.172198
3573176841.311723,2.061637,-0.402649,2.263931,-0.306295,0.518531,3.445691,-2.173890
3573176841.321723,2.060644,-0.407389,2.263578,-0.311007,0.517818,3.442693,-2.175599
3573176841.331723,2.059634,-0.412125,2.263199,-0.315724,0.517098,3.439660,-2.177325
3573176841.341719,2.058606,-0.416857,2.262797,-0.320444,0.516371,3.436592,-2.179069
3573176841.351725,2.057563,-0.421584,2.262369,-0.325168,0.515637,3.433489,-2.180829
3573176841.361724,2.056502,-0.426307,2.261917,-0.329896,0.514896,3.430352,-2.182606
3573176841.371723,2.055425,-0.431025,2.261441,-0.334627,0.514148,3.427180,-2.184399
3573176841.381725,2.054333,-0.435739,2.260941,-0.339361,0.513393,3.423974,-2.186208
3573176841.391725,2.053224,-0.440448,2.260417,-0.344099,0.512631,3.420733,-2.188033
3573176841.401726,2.052100,-0.445153,2.259869,-0.348840,0.511862,3.417459,-2.189875
3573176841.411726,2.050960,-0.449852,2.259297,-0.353584,0.511087,3.414150,-2.191732
3573176841.421726,2.049804,-0.454547,2.258702,-0.358330,0.510305,3.410808,-2.193604
3573176841.431726,2.048633,-0.459236,2.258083,-0.363080,0.509517,3.407432,-2.195492
3573176841.441722,2.047448,-0.463921,2.257440,-0.367832,0.508722,3.404023,-2.197395
3573176841.451726,2.046247,-0.468600,2.256775,-0.372586,0.507921,3.400581,-2.199313
3573176841.461727,2.045032,-0.473274,2.256086,-0.377343,0.507114,3.397105,-2.201246
3573176841.471727,2.043803,-0.477943,2.255375,-0.382102,0.506300,3.393597,-2.203193
3573176841.481727,2.042559,-0.482606,2.254640,-0.386864,0.505480,3.390057,-2.205154
3573176841.491727,2.041301,-0.487263,2.253883,-0.391627,0.504655,3.386484,-2.207130
3573176841.501729,2.040029,-0.491915,2.253104,-0.396392,0.503823,3.382879,-2.209119
3573176841.511728,2.038743,-0.496561,2.252302,-0.401158,0.502986,3.379242,-2.211122
3573176841.521729,2.037444,-0.501202,2.251478,-0.405927,0.502142,3.375574,-2.213138
3573176841.531729,2.036132,-0.505836,2.250631,-0.410696,0.501294,3.371874,-2.215168
3573176841.541725,2.034806,-0.510464,2.249763,-0.415467,0.500439,3.368143,-2.217210
3573176841.551730,2.033467,-0.515086,2.248874,-0.420239,0.499579,3.364381,-2.219265
3573176841.561729,2.032116,-0.519702,2.247962,-0.425012,0.498714,3.360589,-2.221333
3573176841.571728,2.030751,-0.524311,2.247029,-0.429785,0.497843,3.356766,-2.223412
3573176841.581731,2.029375,-0.528914,2.246075,-0.434559,0.496967,3.352914,-2.225504
3573176841.591731,2.027986,-0.533510,2.245100,-0.439334,0.496086,3.349031,-2.227608
3573176841.601731,2.026585,-0.538100,2.244104,-0.444109,0.495200,3.345119,-2.229723
3573176841.611731,2.025172,-0.542683,2.243087,-0.448885,0.494309,3.341178,-2.231849
3573176841.621731,2.023747,-0.547259,2.242049,-0.453660,0.493413,3.337208,-2.233987
3573176841.631732,2.022311,-0.551828,2.240991,-0.458436,0.492513,3.333209,-2.236135
3573176841.641726,2.020863,-0.556389,2.239913,-0.463211,0.491608,3.329182,-2.238293
