Absolute Time,x_in,y_in,x_hat,y_hat
3573172444.089983,10.237645,1.890363,10.233768,1.883258
3573172444.099988,10.236587,1.890831,10.232791,1.883714
3573172444.109988,10.235528,1.891299,10.231813,1.884170
3573172444.119989,10.234468,1.891767,10.230835,1.884627
3573172444.129990,10.233408,1.892235,10.229855,1.885084
3573172444.139989,10.232346,1.892703,10.228875,1.885541
3573172444.149989,10.231284,1.893172,10.227893,1.885998
3573172444.159989,10.230221,1.893640,10.226911,1.886456
3573172444.169991,10.229156,1.894109,10.225928,1.886914
3573172444.179989,10.228092,1.894578,10.224944,1.887371
3573172444.189985,10.227026,1.895047,10.223959,1.887830
3573172444.199992,10.225959,1.895517,10.222973,1.888288
3573172444.209991,10.224892,1.895986,10.221986,1.888746
3573172444.219991,10.223824,1.896456,10.220998,1.889205
3573172444.229991,10.222755,1.896925,10.220010,1.889664
3573172444.239992,10.221685,1.897395,10.219020,1.890123
3573172444.249992,10.220615,1.897865,10.218030,1.890582
3573172444.259993,10.219543,1.898335,10.217039,1.891041
3573172444.269993,10.218471,1.898806,10.216047,1.891501
3573172444.279993,10.217398,1.899276,10.215054,1.891961
3573172444.289989,10.216324,1.899747,10.214060,1.892421
3573172444.299994,10.215249,1.900217,10.213065,1.892881
3573172444.309994,10.214174,1.900688,10.212069,1.893341
3573172444.319995,10.213097,1.901159,10.211073,1.893802
3573172444.329994,10.212020,1.901630,10.210076,1.894262
3573172444.339995,10.210942,1.902102,10.209077,1.894723
3573172444.349996,10.209864,1.902573,10.208078,1.895184
3573172444.359996,10.208784,1.903045,10.207078,1.895645
3573172444.369996,10.207704,1.903517,10.206077,1.896107
3573172444.379995,10.206623,1.903989,10.205076,1.896569
3573172444.389991,10.205541,1.904461,10.204073,1.897030
3573172444.399997,10.204458,1.904933,10.203070,1.897492
3573172444.409997,10.203375,1.905405,10.202065,1.897954
3573172444.419997,10.202290,1.905878,10.201060,1.898417
3573172444.429997,10.201205,1.906350,10.200054,1.898879
3573172444.439999,10.200119,1.906823,10.199047,1.899342
3573172444.449999,10.199033,1.907296,10.198039,1.899805
3573172444.459999,10.197945,1.907769,10.197031,1.900268
3573172444.469999,10.196857,1.908242,10.196021,1.900731
3573172444.479999,10.195768,1.908715,10.195011,1.901195
3573172444.489995,10.194678,1.909189,10.194000,1.901658
3573172444.500000,10.193588,1.909663,10.192987,1.902122
3573172444.510001,10.192496,1.910136,10.191975,1.902586
3573172444.520000,10.191404,1.910610,10.190961,1.903050
3573172444.530000,10.190311,1.911084,10.189946,1.903515
3573172444.540000,10.189217,1.911558,10.188931,1.903979
3573172444.550001,10.188123,1.912033,10.187914,1.904444
3573172444.560001,10.187028,1.912507,10.186897,1.904909
3573172444.569999,10.185932,1.912982,10.185879,1.905374
3573172444.580002,10.184835,1.913456,10.184860,1.905839
3573172444.589998,10.183737,1.913931,10.183841,1.906304
