Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573176613.107601,1.786608,-0.555510,1.277511,-1.490736,-0.892692,1.498228,-1.305473
3573176613.117601,1.787803,-0.555986,1.278128,-1.491708,-0.892330,1.498861,-1.306258
3573176613.127601,1.788999,-0.556462,1.278745,-1.492680,-0.891967,1.499495,-1.307044
3573176613.137596,1.790194,-0.556937,1.279362,-1.493652,-0.891605,1.500129,-1.307829
3573176613.147602,1.791390,-0.557413,1.279980,-1.494624,-0.891243,1.500763,-1.308614
3573176613.157602,1.792587,-0.557888,1.280598,-1.495596,-0.890880,1.501397,-1.309399
3573176613.167601,1.793783,-0.558363,1.281217,-1.496567,-0.890518,1.502032,-1.310184
3573176613.177602,1.794980,-0.558838,1.281836,-1.497539,-0.890156,1.502668,-1.310969
3573176613.187602,1.796177,-0.559313,1.282455,-1.498510,-0.889795,1.503303,-1.311754
3573176613.197603,1.797375,-0.559787,1.283075,-1.499481,-0.889433,1.503939,-1.312539
3573176613.207603,1.798573,-0.560262,1.283695,-1.500452,-0.889071,1.504576,-1.313323
3573176613.217603,1.799771,-0.560736,1.284315,-1.501423,-0.888710,1.505212,-1.314107
3573176613.227603,1.800970,-0.561210,1.284936,-1.502394,-0.888349,1.505849,-1.314891
3573176613.237598,1.802169,-0.561684,1.285557,-1.503364,-0.887987,1.506487,-1.315675
3573176613.247604,1.803368,-0.562158,1.286178,-1.504335,-0.887626,1.507125,-1.316459
3573176613.257604,1.804567,-0.562631,1.286800,-1.505305,-0.887265,1.507763,-1.317243
3573176613.267604,1.805767,-0.563105,1.287422,-1.506275,-0.886905,1.508401,-1.318027
3573176613.277604,1.806968,-0.563578,1.288045,-1.507245,-0.886544,1.509040,-1.318810
3573176613.287605,1.808168,-0.564051,1.288668,-1.508215,-0.886183,1.509679,-1.319594
3573176613.297605,1.809369,-0.564524,1.289291,-1.509185,-0.885823,1.510319,-1.320377
3573176613.307606,1.810570,-0.564997,1.289915,-1.510154,-0.885462,1.510959,-1.321160
3573176613.317606,1.811772,-0.565470,1.290539,-1.511124,-0.885102,1.511599,-1.321943
3573176613.327607,1.812973,-0.565942,1.291164,-1.512093,-0.884742,1.512240,-1.322726
3573176613.337602,1.814176,-0.566415,1.291788,-1.513062,-0.884382,1.512881,-1.323508
3573176613.347608,1.815378,-0.566887,1.292414,-1.514032,-0.884022,1.513522,-1.324291
3573176613.357606,1.816581,-0.567359,1.293039,-1.515001,-0.883662,1.514164,-1.325073
3573176613.367608,1.817784,-0.567831,1.293665,-1.515969,-0.883303,1.514806,-1.325855
3573176613.377608,1.818987,-0.568302,1.294291,-1.516938,-0.882943,1.515448,-1.326638
3573176613.387608,1.820191,-0.568774,1.294918,-1.517907,-0.882584,1.516091,-1.327420
3573176613.397609,1.821395,-0.569245,1.295545,-1.518875,-0.882225,1.516734,-1.328201
3573176613.407610,1.822600,-0.569717,1.296173,-1.519843,-0.881865,1.517378,-1.328983
3573176613.417608,1.823804,-0.570188,1.296800,-1.520812,-0.881506,1.518022,-1.329765
3573176613.427609,1.825009,-0.570659,1.297429,-1.521780,-0.881148,1.518666,-1.330546
3573176613.437605,1.826215,-0.571129,1.298057,-1.522748,-0.880789,1.519311,-1.331327
3573176613.447609,1.827420,-0.571600,1.298686,-1.523715,-0.880430,1.519956,-1.332109
3573176613.457610,1.828626,-0.572071,1.299315,-1.524683,-0.880071,1.520601,-1.332890
3573176613.467610,1.829833,-0.572541,1.299945,-1.525650,-0.879713,1.521247,-1.333671
3573176613.477610,1.831039,-0.573011,1.300575,-1.526618,-0.879355,1.521893,-1.334451
3573176613.487610,1.832246,-0.573481,1.301205,-1.527585,-0.878997,1.522539,-1.335232
3573176613.497611,1.833453,-0.573951,1.301836,-1.528552,-0.878638,1.523186,-1.336013
3573176613.507612,1.834661,-0.574421,1.302467,-1.529519,-0.878281,1.523833,-1.336793
3573176613.517611,1.835869,-0.574890,1.303099,-1.530486,-0.877923,1.524481,-1.337573
3573176613.527611,1.837077,-0.575359,1.303731,-1.531453,-0.877565,1.525129,-1.338353
3573176613.537607,1.838286,-0.575829,1.304363,-1.532419,-0.877207,1.525777,-1.339133
3573176613.547613,1.839494,-0.576298,1.304996,-1.533386,-0.876850,1.526425,-1.339913
3573176613.557613,1.840703,-0.576767,1.305629,-1.534352,-0.876493,1.527074,-1.340693
3573176613.567611,1.841913,-0.577235,1.306262,-1.535318,-0.876135,1.527724,-1.341472
3573176613.577613,1.843123,-0.577704,1.306896,-1.536284,-0.875778,1.528373,-1.342252
3573176613.587613,1.844333,-0.578172,1.307530,-1.537250,-0.875421,1.529023,-1.343031
3573176613.597614,1.845543,-0.578641,1.308164,-1.538216,-0.875064,1.529674,-1.343810
3573176613.607615,1.846754,-0.579109,1.308799,-1.539182,-0.874707,1.530324,-1.344589
3573176613.617615,1.847965,-0.579577,1.309434,-1.540147,-0.874351,1.530975,-1.345368
3573176613.627615,1.849176,-0.580045,1.310070,-1.541112,-0.873994,1.531627,-1.346147
3573176613.637610,1.850388,-0.580512,1.310706,-1.542078,-0.873638,1.532279,-1.346925
3573176613.647615,1.851599,-0.580980,1.311342,-1.543043,-0.873282,1.532931,-1.347704
3573176613.657616,1.852812,-0.581447,1.311979,-1.544008,-0.872925,1.533583,-1.348482
3573176613.667616,1.854024,-0.581915,1.312616,-1.544973,-0.872569,1.534236,-1.349260
3573176613.677615,1.855237,-0.582382,1.313254,-1.545937,-0.872213,1.534890,-1.350039
3573176613.687616,1.856450,-0.582849,1.313891,-1.546902,-0.871858,1.535543,-1.350817
3573176613.697617,1.857664,-0.583315,1.314530,-1.547867,-0.871502,1.536197,-1.351594
3573176613.707616,1.858877,-0.583782,1.315168,-1.548831,-0.871146,1.536852,-1.352372
3573176613.717618,1.860091,-0.584249,1.315807,-1.549795,-0.870791,1.537506,-1.353150
3573176613.727617,1.861306,-0.584715,1.316446,-1.550759,-0.870435,1.538161,-1.353927
3573176613.737612,1.862520,-0.585181,1.317086,-1.551723,-0.870080,1.538817,-1.354704
3573176613.747617,1.863735,-0.585647,1.317726,-1.552687,-0.869725,1.539472,-1.355481
3573176613.757618,1.864951,-0.586113,1.318367,-1.553651,-0.869370,1.540129,-1.356258
3573176613.767618,1.866166,-0.586579,1.319007,-1.554614,-0.869015,1.540785,-1.357035
3573176613.777618,1.867382,-0.587044,1.319648,-1.555578,-0.868660,1.541442,-1.357812
3573176613.787619,1.868598,-0.587510,1.320290,-1.556541,-0.868306,1.542099,-1.358589
3573176613.797619,1.869815,-0.587975,1.320932,-1.557504,-0.867951,1.542757,-1.359365
3573176613.807620,1.871031,-0.588440,1.321574,-1.558467,-0.867597,1.543415,-1.360142
3573176613.817620,1.872249,-0.588905,1.322217,-1.559430,-0.867243,1.544073,-1.360918
