PosXRight,PosYRight,Absolute Time
0.000000,0.000000,3568884931.806860
0.000000,0.000000,3568884931.816864
0.000000,0.000000,3568884931.826863
0.000000,0.000000,3568884931.836864
0.000000,0.000000,3568884931.846864
0.000000,0.000000,3568884931.856864
0.000000,0.000000,3568884931.866865
0.000000,0.000000,3568884931.876865
0.000000,0.000000,3568884931.886863
0.000000,0.000000,3568884931.896866
0.000000,0.000000,3568884931.906865
0.000000,0.000000,3568884931.916867
0.000000,0.000000,3568884931.926866
0.000000,0.000000,3568884931.936867
0.000000,0.000000,3568884931.946867
0.000000,0.000000,3568884931.956867
0.000000,0.000000,3568884931.966868
0.000000,0.000000,3568884931.976868
0.000000,0.000000,3568884931.986868
0.000000,0.000000,3568884931.996869
0.000000,0.000000,3568884932.006869
0.000000,0.000000,3568884932.016870
0.000000,0.000000,3568884932.026870
0.000000,0.000000,3568884932.036870
0.000000,0.000000,3568884932.046870
0.000000,0.000000,3568884932.056870
0.000000,0.000000,3568884932.066871
0.000000,0.000000,3568884932.076872
0.000000,0.000000,3568884932.086870
0.000000,0.000000,3568884932.096871
0.000000,0.000000,3568884932.106872
0.000000,0.000000,3568884932.116873
0.000000,0.000000,3568884932.126873
0.000000,0.000000,3568884932.136873
0.000000,0.000000,3568884932.146874
0.000000,0.000000,3568884932.156874
0.000000,0.000000,3568884932.166874
0.000000,0.000000,3568884932.176875
0.000000,-0.041261,3568884932.186874
0.000000,-0.041261,3568884932.196875
0.000000,-0.144353,3568884932.206875
0.000000,-0.216529,3568884932.216876
-0.082492,-0.216529,3568884932.226876
-0.082492,-0.309305,3568884932.236877
-0.195898,-0.309305,3568884932.246877
-0.195898,-0.443342,3568884932.256877
-0.247444,-0.443342,3568884932.266878
-0.247444,-0.536119,3568884932.276878
-0.247444,-0.536119,3568884932.286877
-0.309305,-0.536119,3568884932.296878
-0.309305,-0.649525,3568884932.306878
-0.350536,-0.649525,3568884932.316880
-0.350536,-0.824793,3568884932.326879
-0.371166,-0.824793,3568884932.336879
-0.371166,-0.927885,3568884932.346880
-0.371166,-0.927885,3568884932.356879
-0.381481,-0.927885,3568884932.366881
-0.381481,-1.000000,3568884932.376881
-0.402081,-1.000000,3568884932.386879
-0.443342,-1.000000,3568884932.396882
-0.443342,-1.000000,3568884932.406881
-0.453627,-1.000000,3568884932.416882
-0.453627,-1.000000,3568884932.426882
-0.463942,-1.000000,3568884932.436883
-0.463942,-1.000000,3568884932.446883
-0.463942,-1.000000,3568884932.456884
-0.463942,-1.000000,3568884932.466884
-0.463942,-1.000000,3568884932.476884
-0.463942,-1.000000,3568884932.486883
-0.463942,-1.000000,3568884932.496884
-0.463942,-1.000000,3568884932.506885
-0.463942,-1.000000,3568884932.516885
-0.463942,-1.000000,3568884932.526886
-0.463942,-1.000000,3568884932.536886
-0.463942,-1.000000,3568884932.546886
-0.463942,-1.000000,3568884932.556887
-0.463942,-1.000000,3568884932.566886
-0.463942,-1.000000,3568884932.576887
-0.463942,-1.000000,3568884932.586886
-0.463942,-1.000000,3568884932.596888
-0.463942,-1.000000,3568884932.606887
-0.463942,-1.000000,3568884932.616888
-0.463942,-1.000000,3568884932.626888
-0.463942,-1.000000,3568884932.636889
-0.463942,-1.000000,3568884932.646889
-0.463942,-1.000000,3568884932.656889
-0.463942,-1.000000,3568884932.666890
-0.463942,-1.000000,3568884932.676890
-0.463942,-1.000000,3568884932.686889
-0.463942,-1.000000,3568884932.696891
-0.463942,-1.000000,3568884932.706891
-0.463942,-1.000000,3568884932.716891
-0.391766,-1.000000,3568884932.726891
-0.391766,-1.000000,3568884932.736891
-0.329936,-1.000000,3568884932.746891
-0.329936,-1.000000,3568884932.756892
-0.257759,-1.000000,3568884932.766893
-0.226814,-1.000000,3568884932.776894
-0.175268,-1.000000,3568884932.786891
-0.082492,-1.000000,3568884932.796895
-0.030946,-1.000000,3568884932.806895
0.000000,-1.000000,3568884932.816894
0.000000,-1.000000,3568884932.826896
0.000000,-1.000000,3568884932.836895
0.000000,-1.000000,3568884932.846896
0.030915,-1.000000,3568884932.856896
0.041231,-1.000000,3568884932.866897
0.041231,-1.000000,3568884932.876896
0.051546,-1.000000,3568884932.886897
0.051546,-1.000000,3568884932.896898
0.051546,-1.000000,3568884932.906898
0.051546,-1.000000,3568884932.916898
0.051546,-1.000000,3568884932.926898
0.051546,-1.000000,3568884932.936898
0.051546,-1.000000,3568884932.946898
0.061831,-1.000000,3568884932.956899
0.061831,-1.000000,3568884932.966899
0.072146,-1.000000,3568884932.976900
0.072146,-1.000000,3568884932.986898
0.185553,-1.000000,3568884932.996901
0.195868,-1.000000,3568884933.006900
0.195868,-1.000000,3568884933.016901
0.195868,-1.000000,3568884933.026901
0.195868,-1.000000,3568884933.036902
0.195868,-1.000000,3568884933.046903
0.247414,-1.000000,3568884933.056901
0.288644,-1.000000,3568884933.066903
0.288644,-1.000000,3568884933.076902
0.288644,-1.000000,3568884933.086902
0.288644,-1.000000,3568884933.096903
0.371136,-1.000000,3568884933.106903
0.371136,-1.000000,3568884933.116904
0.381451,-1.000000,3568884933.126904
0.402051,-1.000000,3568884933.136905
0.412366,-1.000000,3568884933.146904
0.422681,-1.000000,3568884933.156906
0.432997,-1.000000,3568884933.166905
0.474227,-1.000000,3568884933.176906
0.474227,-1.000000,3568884933.186905
0.474227,-1.000000,3568884933.196907
0.525773,-1.000000,3568884933.206907
0.567003,-1.000000,3568884933.216907
0.567003,-1.000000,3568884933.226908
0.577319,-1.000000,3568884933.236907
0.587634,-1.000000,3568884933.246908
0.618549,-1.000000,3568884933.256909
0.680410,-1.000000,3568884933.266909
0.680410,-1.000000,3568884933.276910
0.690725,-1.000000,3568884933.286908
0.731956,-1.000000,3568884933.296909
0.752586,-1.000000,3568884933.306910
0.773217,-1.000000,3568884933.316910
0.783502,-1.000000,3568884933.326910
0.814447,-1.000000,3568884933.336911
0.814447,-1.000000,3568884933.346911
0.835047,-1.000000,3568884933.356912
0.855678,-1.000000,3568884933.366912
0.865993,-1.000000,3568884933.376912
0.886624,-1.000000,3568884933.386910
0.896908,-1.000000,3568884933.396913
0.896908,-1.000000,3568884933.406914
0.896908,-1.000000,3568884933.416914
0.917539,-1.000000,3568884933.426913
0.938169,-1.000000,3568884933.436915
0.948454,-1.000000,3568884933.446915
0.948454,-1.000000,3568884933.456917
0.979400,-1.000000,3568884933.466915
0.989715,-1.000000,3568884933.476915
1.000000,-1.000000,3568884933.486915
1.000000,-1.000000,3568884933.496915
1.000000,-1.000000,3568884933.506916
1.000000,-1.000000,3568884933.516917
1.000000,-0.979431,3568884933.526917
1.000000,-0.958800,3568884933.536917
1.000000,-0.958800,3568884933.546917
1.000000,-0.927885,3568884933.556918
1.000000,-0.907254,3568884933.566918
1.000000,-0.866024,3568884933.576919
1.000000,-0.866024,3568884933.586917
1.000000,-0.824793,3568884933.596919
1.000000,-0.824793,3568884933.606919
1.000000,-0.824793,3568884933.616920
1.000000,-0.814478,3568884933.626920
1.000000,-0.814478,3568884933.636920
1.000000,-0.793847,3568884933.646921
1.000000,-0.752617,3568884933.656921
1.000000,-0.731986,3568884933.666922
1.000000,-0.721702,3568884933.676922
1.000000,-0.721702,3568884933.686921
1.000000,-0.711386,3568884933.696922
1.000000,-0.711386,3568884933.706923
1.000000,-0.680441,3568884933.716923
1.000000,-0.639210,3568884933.726923
1.000000,-0.628895,3568884933.736923
1.000000,-0.608295,3568884933.746923
1.000000,-0.608295,3568884933.756924
1.000000,-0.597980,3568884933.766925
1.000000,-0.597980,3568884933.776925
1.000000,-0.577349,3568884933.786925
1.000000,-0.546434,3568884933.796926
1.000000,-0.536119,3568884933.806926
1.000000,-0.525803,3568884933.816927
1.000000,-0.494888,3568884933.826926
1.000000,-0.463942,3568884933.836926
1.000000,-0.443342,3568884933.846928
1.000000,-0.391766,3568884933.856927
1.000000,-0.360851,3568884933.866927
1.000000,-0.340220,3568884933.876928
1.000000,-0.298990,3568884933.886927
1.000000,-0.298990,3568884933.896928
1.000000,-0.298990,3568884933.906929
1.000000,-0.278359,3568884933.916929
