PosXRight,PosYRight,Absolute Time,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
0.000000,0.000000,3568887321.067283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.077287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.087286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.097287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.107287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.117282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.127287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.137288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.147286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.157288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.167288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.177289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.187290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.197289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.207290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.217286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.227290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.237290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.247291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.257291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.267291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.277292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.287292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.297292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.307292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.317288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.327293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.337294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.347293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.357295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.367294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.377295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.387295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.397296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.407295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.417291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.427297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.437297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.447296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.457298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.467297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.477298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.487298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.497298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.507298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.517295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.527301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.537299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.547299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.557301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.567300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.577302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.587300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.597301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.607302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.617298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.627302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.637302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.647302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.657302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.667303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.677304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.687304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.697305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.707304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.717300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.727305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.737306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.747304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.757308,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.767307,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.777307,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.787307,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.797307,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.807309,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.817305,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.827309,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.837308,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.847310,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.857309,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.867311,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.877310,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.887310,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.897310,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.907310,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.917306,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.927312,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.937313,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.947311,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.957312,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.967312,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.977314,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.987314,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887321.997313,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.007314,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.017309,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.027314,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.037315,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.047314,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.057316,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.067316,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.077316,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.087316,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.097318,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.107317,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.117313,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.127317,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.137317,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.147317,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.157320,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.167317,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.177320,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.187319,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.197320,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.207321,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.217316,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.227321,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.237320,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.247320,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.257320,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.267322,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.277322,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.287322,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.297323,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887322.307323,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000
