Absolute Time,x_in,y_in
3573107334.701649,4.267386,-26.408944
3573107334.711651,4.268024,-26.409582
3573107334.721650,4.268662,-26.410220
3573107334.731650,4.269300,-26.410857
3573107334.741651,4.269938,-26.411495
3573107334.751651,4.270577,-26.412132
3573107334.761652,4.271215,-26.412768
3573107334.771652,4.271854,-26.413405
3573107334.781652,4.272493,-26.414041
3573107334.791652,4.273132,-26.414677
3573107334.801653,4.273771,-26.415313
3573107334.811653,4.274410,-26.415948
3573107334.821653,4.275050,-26.416584
3573107334.831654,4.275689,-26.417219
3573107334.841652,4.276329,-26.417853
3573107334.851654,4.276969,-26.418488
3573107334.861655,4.277609,-26.419122
3573107334.871655,4.278250,-26.419756
3573107334.881655,4.278890,-26.420390
3573107334.891655,4.279531,-26.421023
3573107334.901655,4.280171,-26.421656
3573107334.911656,4.280812,-26.422289
3573107334.921657,4.281453,-26.422922
3573107334.931657,4.282094,-26.423554
3573107334.941656,4.282736,-26.424186
3573107334.951655,4.283377,-26.424818
3573107334.961658,4.284019,-26.425450
3573107334.971657,4.284661,-26.426081
3573107334.981658,4.285303,-26.426712
3573107334.991657,4.285945,-26.427343
3573107335.001657,4.286587,-26.427974
3573107335.011658,4.287230,-26.428604
3573107335.021658,4.287873,-26.429234
3573107335.031659,4.288515,-26.429864
3573107335.041660,4.289158,-26.430494
3573107335.051660,4.289801,-26.431123
3573107335.061660,4.290445,-26.431752
3573107335.071660,4.291088,-26.432381
3573107335.081660,4.291732,-26.433010
3573107335.091661,4.292375,-26.433638
3573107335.101662,4.293019,-26.434266
3573107335.111661,4.293663,-26.434894
3573107335.121661,4.294307,-26.435522
3573107335.131662,4.294952,-26.436149
3573107335.141661,4.295596,-26.436776
3573107335.151662,4.296241,-26.437403
3573107335.161663,4.296886,-26.438030
3573107335.171663,4.297531,-26.438656
3573107335.181663,4.298176,-26.439282
3573107335.191663,4.298821,-26.439908
3573107335.201664,4.299467,-26.440533
3573107335.211665,4.300112,-26.441159
3573107335.221666,4.300758,-26.441784
3573107335.231665,4.301404,-26.442408
3573107335.241664,4.302050,-26.443033
3573107335.251665,4.302697,-26.443657
3573107335.261666,4.303343,-26.444281
3573107335.271666,4.303989,-26.444905
3573107335.281667,4.304636,-26.445529
3573107335.291667,4.305283,-26.446152
3573107335.301667,4.305930,-26.446775
3573107335.311666,4.306577,-26.447398
3573107335.321668,4.307225,-26.448020
3573107335.331667,4.307872,-26.448642
3573107335.341668,4.308520,-26.449264
3573107335.351668,4.309168,-26.449886
3573107335.361668,4.309816,-26.450508
3573107335.371668,4.310464,-26.451129
3573107335.381669,4.311112,-26.451750
3573107335.391669,4.311761,-26.452371
3573107335.401670,4.312409,-26.452991
3573107335.411670,4.313058,-26.453612
3573107335.421670,4.313707,-26.454232
3573107335.431671,4.314356,-26.454851
3573107335.441669,4.315005,-26.455471
3573107335.451671,4.315655,-26.456090
3573107335.461672,4.316304,-26.456709
3573107335.471671,4.316954,-26.457328
3573107335.481672,4.317604,-26.457946
3573107335.491672,4.318254,-26.458565
3573107335.501673,4.318904,-26.459183
3573107335.511673,4.319554,-26.459800
3573107335.521674,4.320205,-26.460418
3573107335.531674,4.320855,-26.461035
3573107335.541673,4.321506,-26.461652
3573107335.551674,4.322157,-26.462269
3573107335.561674,4.322808,-26.462885
3573107335.571675,4.323460,-26.463501
3573107335.581676,4.324111,-26.464117
3573107335.591675,4.324763,-26.464733
3573107335.601676,4.325415,-26.465349
3573107335.611675,4.326066,-26.465964
3573107335.621675,4.326719,-26.466579
3573107335.631676,4.327371,-26.467194
3573107335.641677,4.328023,-26.467808
3573107335.651677,4.328676,-26.468422
3573107335.661677,4.329328,-26.469036
3573107335.671677,4.329981,-26.469650
3573107335.681677,4.330634,-26.470264
3573107335.691678,4.331287,-26.470877
3573107335.701679,4.331941,-26.471490
3573107335.711679,4.332594,-26.472103
3573107335.721679,4.333248,-26.472715
3573107335.731678,4.333902,-26.473327
3573107335.741679,4.334556,-26.473939
3573107335.751679,4.335210,-26.474551
3573107335.761681,4.335864,-26.475163
3573107335.771680,4.336519,-26.475774
3573107335.781681,4.337173,-26.476385
3573107335.791681,4.337828,-26.476996
3573107335.801681,4.338483,-26.477606
3573107335.811681,4.339138,-26.478216
3573107335.821682,4.339793,-26.478827
3573107335.831682,4.340449,-26.479436
3573107335.841681,4.341104,-26.480046
3573107335.851682,4.341760,-26.480655
3573107335.861682,4.342416,-26.481264
3573107335.871683,4.343072,-26.481873
3573107335.881684,4.343728,-26.482481
3573107335.891684,4.344384,-26.483090
3573107335.901683,4.345041,-26.483698
3573107335.911685,4.345697,-26.484306
3573107335.921684,4.346354,-26.484913
3573107335.931685,4.347011,-26.485520
3573107335.941686,4.347668,-26.486127
3573107335.951684,4.348326,-26.486734
3573107335.961685,4.348983,-26.487341
3573107335.971685,4.349641,-26.487947
3573107335.981686,4.350298,-26.488553
3573107335.991686,4.350956,-26.489159
3573107336.001688,4.351614,-26.489764
3573107336.011687,4.352272,-26.490370
3573107336.021687,4.352931,-26.490975
3573107336.031687,4.353589,-26.491580
3573107336.041687,4.354248,-26.492184
3573107336.051688,4.354907,-26.492789
3573107336.061689,4.355566,-26.493393
3573107336.071688,4.356225,-26.493996
3573107336.081689,4.356884,-26.494600
3573107336.091689,4.357544,-26.495203
3573107336.101689,4.358204,-26.495807
3573107336.111690,4.358863,-26.496409
3573107336.121692,4.359523,-26.497012
3573107336.131690,4.360183,-26.497614
3573107336.141689,4.360844,-26.498216
3573107336.151691,4.361504,-26.498818
3573107336.161691,4.362165,-26.499420
3573107336.171691,4.362825,-26.500021
3573107336.181693,4.363486,-26.500622
3573107336.191692,4.364147,-26.501223
3573107336.201692,4.364809,-26.501824
3573107336.211693,4.365470,-26.502424
3573107336.221692,4.366132,-26.503025
3573107336.231693,4.366793,-26.503624
3573107336.241693,4.367455,-26.504224
3573107336.251694,4.368117,-26.504824
3573107336.261693,4.368779,-26.505423
3573107336.271694,4.369442,-26.506022
3573107336.281695,4.370104,-26.506620
3573107336.291695,4.370767,-26.507219
3573107336.301696,4.371429,-26.507817
3573107336.311696,4.372092,-26.508415
3573107336.321696,4.372756,-26.509013
3573107336.331696,4.373419,-26.509610
3573107336.341695,4.374082,-26.510207
3573107336.351696,4.374746,-26.510804
3573107336.361700,4.375410,-26.511401
3573107336.371697,4.376073,-26.511997
3573107336.381697,4.376737,-26.512594
3573107336.391697,4.377402,-26.513190
3573107336.401698,4.378066,-26.513785
3573107336.411698,4.378731,-26.514381
3573107336.421699,4.379395,-26.514976
3573107336.431699,4.380060,-26.515571
3573107336.441699,4.380725,-26.516166
3573107336.451699,4.381390,-26.516761
3573107336.461699,4.382056,-26.517355
3573107336.471700,4.382721,-26.517949
3573107336.481701,4.383387,-26.518543
3573107336.491700,4.384052,-26.519136
3573107336.501701,4.384718,-26.519730
3573107336.511701,4.385384,-26.520323
3573107336.521701,4.386051,-26.520915
3573107336.531702,4.386717,-26.521508
3573107336.541703,4.387384,-26.522100
3573107336.551702,4.388050,-26.522693
3573107336.561702,4.388717,-26.523284
3573107336.571702,4.389384,-26.523876
3573107336.581703,4.390051,-26.524467
3573107336.591702,4.390719,-26.525058
3573107336.601704,4.391386,-26.525649
3573107336.611704,4.392054,-26.526240
3573107336.621704,4.392722,-26.526830
3573107336.631704,4.393390,-26.527421
3573107336.641704,4.394058,-26.528011
3573107336.651705,4.394726,-26.528600
3573107336.661706,4.395395,-26.529190
3573107336.671706,4.396063,-26.529779
3573107336.681706,4.396732,-26.530368
3573107336.691706,4.397401,-26.530956
3573107336.701705,4.398070,-26.531545
3573107336.711708,4.398739,-26.532133
3573107336.721708,4.399409,-26.532721
3573107336.731707,4.400078,-26.533309
3573107336.741707,4.400748,-26.533896
3573107336.751708,4.401418,-26.534484
3573107336.761708,4.402088,-26.535071
3573107336.771709,4.402758,-26.535657
3573107336.781709,4.403428,-26.536244
3573107336.791710,4.404099,-26.536830
3573107336.801709,4.404770,-26.537416
3573107336.811710,4.405440,-26.538002
3573107336.821710,4.406111,-26.538588
3573107336.831710,4.406782,-26.539173
3573107336.841712,4.407454,-26.539758
3573107336.851710,4.408125,-26.540343
3573107336.861711,4.408797,-26.540928
3573107336.871712,4.409469,-26.541512
3573107336.881711,4.410140,-26.542096
3573107336.891712,4.410813,-26.542680
3573107336.901713,4.411485,-26.543264
3573107336.911712,4.412157,-26.543847
3573107336.921713,4.412830,-26.544430
3573107336.931714,4.413502,-26.545013
3573107336.941711,4.414175,-26.545596
3573107336.951713,4.414848,-26.546178
3573107336.961714,4.415521,-26.546761
3573107336.971714,4.416195,-26.547343
3573107336.981714,4.416868,-26.547924
3573107336.991715,4.417542,-26.548506
3573107337.001715,4.418216,-26.549087
3573107337.011715,4.418890,-26.549668
3573107337.021716,4.419564,-26.550249
3573107337.031715,4.420238,-26.550829
3573107337.041715,4.420912,-26.551410
3573107337.051716,4.421587,-26.551990
3573107337.061716,4.422262,-26.552569
3573107337.071717,4.422937,-26.553149
3573107337.081718,4.423612,-26.553728
3573107337.091718,4.424287,-26.554307
3573107337.101717,4.424962,-26.554886
3573107337.111717,4.425638,-26.555465
3573107337.121718,4.426313,-26.556043
3573107337.131718,4.426989,-26.556621
3573107337.141719,4.427665,-26.557199
3573107337.151720,4.428341,-26.557777
3573107337.161720,4.429018,-26.558354
3573107337.171720,4.429694,-26.558932
3573107337.181719,4.430371,-26.559509
3573107337.191720,4.431048,-26.560085
3573107337.201721,4.431725,-26.560662
3573107337.211721,4.432402,-26.561238
3573107337.221721,4.433079,-26.561814
3573107337.231721,4.433756,-26.562390
3573107337.241722,4.434434,-26.562965
3573107337.251722,4.435112,-26.563541
3573107337.261723,4.435789,-26.564116
3573107337.271722,4.436467,-26.564690
3573107337.281723,4.437146,-26.565265
3573107337.291722,4.437824,-26.565839
3573107337.301723,4.438503,-26.566413
3573107337.311723,4.439181,-26.566987
3573107337.321725,4.439860,-26.567561
3573107337.331724,4.440539,-26.568134
3573107337.341723,4.441218,-26.568707
3573107337.351724,4.441897,-26.569280
3573107337.361724,4.442577,-26.569853
3573107337.371726,4.443256,-26.570425
3573107337.381727,4.443936,-26.570998
3573107337.391726,4.444616,-26.571569
3573107337.401726,4.445296,-26.572141
3573107337.411726,4.445976,-26.572713
3573107337.421727,4.446657,-26.573284
3573107337.431726,4.447337,-26.573855
3573107337.441728,4.448018,-26.574426
3573107337.451727,4.448699,-26.574996
3573107337.461728,4.449380,-26.575566
3573107337.471727,4.450061,-26.576137
3573107337.481728,4.450742,-26.576706
3573107337.491728,4.451424,-26.577276
3573107337.501729,4.452105,-26.577845
3573107337.511730,4.452787,-26.578414
3573107337.521729,4.453469,-26.578983
3573107337.531730,4.454151,-26.579552
3573107337.541730,4.454834,-26.580120
3573107337.551731,4.455516,-26.580688
3573107337.561731,4.456198,-26.581256
3573107337.571731,4.456881,-26.581824
3573107337.581731,4.457564,-26.582392
3573107337.591732,4.458247,-26.582959
3573107337.601732,4.458930,-26.583526
3573107337.611732,4.459614,-26.584093
3573107337.621733,4.460297,-26.584659
3573107337.631732,4.460981,-26.585225
3573107337.641732,4.461665,-26.585791
3573107337.651733,4.462349,-26.586357
3573107337.661733,4.463033,-26.586923
3573107337.671734,4.463717,-26.587488
3573107337.681735,4.464402,-26.588053
3573107337.691734,4.465086,-26.588618
3573107337.701734,4.465771,-26.589183
3573107337.711736,4.466456,-26.589747
3573107337.721735,4.467141,-26.590311
3573107337.731736,4.467826,-26.590875
3573107337.741736,4.468511,-26.591439
3573107337.751737,4.469197,-26.592002
3573107337.761737,4.469883,-26.592566
3573107337.771737,4.470569,-26.593129
3573107337.781738,4.471255,-26.593691
3573107337.791737,4.471941,-26.594254
3573107337.801739,4.472627,-26.594816
3573107337.811737,4.473313,-26.595378
3573107337.821737,4.474000,-26.595940
3573107337.831738,4.474687,-26.596501
3573107337.841737,4.475374,-26.597063
3573107337.851738,4.476061,-26.597624
3573107337.861741,4.476748,-26.598185
3573107337.871739,4.477436,-26.598745
3573107337.881739,4.478123,-26.599306
3573107337.891739,4.478811,-26.599866
3573107337.901740,4.479499,-26.600426
3573107337.911740,4.480187,-26.600986
3573107337.921742,4.480875,-26.601545
3573107337.931740,4.481563,-26.602104
3573107337.941741,4.482252,-26.602663
3573107337.951742,4.482940,-26.603222
3573107337.961742,4.483629,-26.603781
3573107337.971742,4.484318,-26.604339
3573107337.981743,4.485007,-26.604897
3573107337.991744,4.485697,-26.605455
3573107338.001743,4.486386,-26.606012
3573107338.011744,4.487076,-26.606570
3573107338.021744,4.487765,-26.607127
3573107338.031745,4.488455,-26.607684
3573107338.041744,4.489145,-26.608240
3573107338.051744,4.489836,-26.608797
3573107338.061745,4.490526,-26.609353
3573107338.071745,4.491216,-26.609909
3573107338.081745,4.491907,-26.610465
3573107338.091745,4.492598,-26.611020
3573107338.101747,4.493289,-26.611576
3573107338.111746,4.493980,-26.612131
3573107338.121746,4.494671,-26.612685
3573107338.131747,4.495363,-26.613240
3573107338.141746,4.496054,-26.613794
3573107338.151747,4.496746,-26.614348
3573107338.161748,4.497438,-26.614902
3573107338.171748,4.498130,-26.615456
3573107338.181748,4.498822,-26.616009
3573107338.191748,4.499515,-26.616562
3573107338.201748,4.500207,-26.617115
3573107338.211750,4.500900,-26.617668
3573107338.221750,4.501593,-26.618221
3573107338.231749,4.502286,-26.618773
3573107338.241749,4.502979,-26.619325
3573107338.251750,4.503672,-26.619877
3573107338.261751,4.504366,-26.620428
3573107338.271751,4.505060,-26.620980
3573107338.281752,4.505753,-26.621531
3573107338.291751,4.506447,-26.622081
3573107338.301752,4.507141,-26.622632
3573107338.311752,4.507836,-26.623182
3573107338.321753,4.508530,-26.623733
3573107338.331752,4.509225,-26.624283
3573107338.341753,4.509919,-26.624832
3573107338.351753,4.510614,-26.625382
3573107338.361754,4.511309,-26.625931
3573107338.371754,4.512004,-26.626480
3573107338.381753,4.512700,-26.627029
3573107338.391754,4.513395,-26.627577
3573107338.401755,4.514091,-26.628125
3573107338.411755,4.514787,-26.628674
3573107338.421755,4.515483,-26.629221
3573107338.431755,4.516179,-26.629769
3573107338.441754,4.516875,-26.630316
3573107338.451756,4.517571,-26.630864
3573107338.461757,4.518268,-26.631410
3573107338.471756,4.518965,-26.631957
3573107338.481757,4.519662,-26.632504
3573107338.491756,4.520359,-26.633050
3573107338.501757,4.521056,-26.633596
3573107338.511757,4.521753,-26.634142
3573107338.521758,4.522451,-26.634687
3573107338.531758,4.523148,-26.635232
3573107338.541758,4.523846,-26.635777
3573107338.551758,4.524544,-26.636322
3573107338.561759,4.525242,-26.636867
3573107338.571759,4.525940,-26.637411
3573107338.581761,4.526639,-26.637955
3573107338.591759,4.527337,-26.638499
3573107338.601760,4.528036,-26.639043
3573107338.611760,4.528735,-26.639586
3573107338.621761,4.529434,-26.640130
3573107338.631761,4.530133,-26.640673
3573107338.641763,4.530833,-26.641215
3573107338.651762,4.531532,-26.641758
3573107338.661762,4.532232,-26.642300
3573107338.671762,4.532932,-26.642842
