Absolute Time,psi_out,u_hat,u_true
3570169001.256526,0.000000,-0.004639,0.000000
3570169001.266525,0.000000,-0.004637,0.000000
3570169001.276525,0.000000,-0.004635,0.000000
3570169001.286526,0.000000,-0.004633,0.000000
3570169001.296527,0.000000,-0.004631,0.000000
3570169001.306526,0.000000,-0.004629,0.000000
3570169001.316527,0.000000,-0.004627,0.000000
3570169001.326528,0.000000,-0.004625,0.000000
3570169001.336526,0.000000,-0.004623,0.000000
3570169001.346527,0.000000,-0.004621,0.000000
3570169001.356527,0.000000,-0.004619,0.000000
3570169001.366528,0.000000,-0.004617,0.000000
3570169001.376528,0.000000,-0.004615,0.000000
3570169001.386529,0.000000,-0.004613,0.000000
3570169001.396529,0.000000,-0.004610,0.000000
3570169001.406529,0.000000,-0.004608,0.000000
3570169001.416528,0.000000,-0.004606,0.000000
3570169001.426530,0.000000,-0.004604,0.000000
3570169001.436529,0.000000,-0.004602,0.000000
3570169001.446531,0.000000,-0.004600,0.000000
3570169001.456529,0.000000,-0.004598,0.000000
3570169001.466531,0.000000,-0.004596,0.000000
3570169001.476531,0.000000,-0.004594,0.000000
3570169001.486530,0.000000,-0.004592,0.000000
3570169001.496531,0.000000,-0.004590,0.000000
3570169001.506534,0.000000,-0.004588,0.000000
3570169001.516531,0.000000,-0.004586,0.000000
3570169001.526532,0.000000,-0.004584,0.000000
3570169001.536532,0.000000,-0.004582,0.000000
3570169001.546534,0.000000,-0.004580,0.000000
3570169001.556533,0.000000,-0.004578,0.000000
3570169001.566535,0.000000,-0.004576,0.000000
3570169001.576534,0.000000,-0.004574,0.000000
3570169001.586534,0.000000,-0.004572,0.000000
3570169001.596534,0.000000,-0.004570,0.000000
3570169001.606534,0.000000,-0.004568,0.000000
3570169001.616536,0.000000,-0.004566,0.000000
3570169001.626536,0.000000,-0.004564,0.000000
3570169001.636536,0.000000,-0.004562,0.000000
3570169001.646537,0.000000,-0.004560,0.000000
3570169001.656536,0.000000,-0.004558,0.000000
3570169001.666536,0.000000,-0.004556,0.000000
3570169001.676536,0.000000,-0.004554,0.000000
3570169001.686538,0.000000,-0.004552,0.000000
3570169001.696537,0.000000,-0.004550,0.000000
3570169001.706537,0.000000,-0.004548,0.000000
3570169001.716537,0.000000,-0.004546,0.000000
3570169001.726539,0.000000,-0.004544,0.000000
3570169001.736538,0.000000,-0.004542,0.000000
3570169001.746540,0.000000,-0.004540,0.000000
3570169001.756539,0.000000,-0.004538,0.000000
3570169001.766540,0.000000,-0.004536,0.000000
3570169001.776540,0.000000,-0.004534,0.000000
3570169001.786540,0.000000,-0.004532,0.000000
3570169001.796540,0.000000,-0.004530,0.000000
3570169001.806541,0.000000,-0.004528,0.000000
3570169001.816539,0.000000,-0.004526,0.000000
3570169001.826541,0.000000,-0.004524,0.000000
3570169001.836539,0.000000,-0.004522,0.000000
3570169001.846541,0.000000,-0.004520,0.000000
3570169001.856542,0.000000,-0.004518,0.000000
3570169001.866543,0.000000,-0.004516,0.000000
3570169001.876543,0.000000,-0.004514,0.000000
3570169001.886543,0.000000,-0.004512,0.000000
3570169001.896543,0.000000,-0.004510,0.000000
3570169001.906543,0.000000,-0.004508,0.000000
3570169001.916543,0.000000,-0.004506,0.000000
3570169001.926544,0.000000,-0.004504,0.000000
3570169001.936545,0.000000,-0.004502,0.000000
3570169001.946544,0.000000,-0.004500,0.000000
3570169001.956544,0.000000,-0.004498,0.000000
3570169001.966545,0.000000,-0.004496,0.000000
3570169001.976545,0.000000,-0.004494,0.000000
3570169001.986547,0.000000,-0.004492,0.000000
3570169001.996546,0.000000,-0.004490,0.000000
3570169002.006546,0.000000,-0.004488,0.000000
