Absolute Time,psi_out,u_hat,u_true
3570168928.534406,0.000000,-0.114182,0.000000
3570168928.544407,0.000000,-0.114130,0.000000
3570168928.554405,0.000000,-0.114079,0.000000
3570168928.564406,0.000000,-0.114028,0.000000
3570168928.574406,0.000000,-0.113976,0.000000
3570168928.584406,0.000000,-0.113925,0.000000
3570168928.594408,0.000000,-0.113874,0.000000
3570168928.604408,0.000000,-0.113823,0.000000
3570168928.614407,0.000000,-0.113772,0.000000
3570168928.624407,0.000000,-0.113721,0.000000
3570168928.634408,0.000000,-0.113670,0.000000
3570168928.644409,0.000000,-0.113618,0.000000
3570168928.654409,0.000000,-0.113567,0.000000
3570168928.664410,0.000000,-0.113516,0.000000
3570168928.674409,0.000000,-0.113465,0.000000
3570168928.684410,0.000000,-0.113414,0.000000
3570168928.694410,0.000000,-0.113364,0.000000
3570168928.704410,0.000000,-0.113313,0.000000
3570168928.714410,0.000000,-0.113262,0.000000
3570168928.724412,0.000000,-0.113211,0.000000
3570168928.734410,0.000000,-0.113160,0.000000
3570168928.744411,0.000000,-0.113109,0.000000
3570168928.754412,0.000000,-0.113058,0.000000
3570168928.764411,0.000000,-0.113008,0.000000
3570168928.774413,0.000000,-0.112957,0.000000
3570168928.784413,0.000000,-0.112906,0.000000
3570168928.794413,0.000000,-0.112855,0.000000
3570168928.804413,0.000000,-0.112805,0.000000
3570168928.814412,0.000000,-0.112754,0.000000
3570168928.824413,0.000000,-0.112704,0.000000
3570168928.834414,0.000000,-0.112653,0.000000
3570168928.844415,0.000000,-0.112602,0.000000
3570168928.854414,0.000000,-0.112552,0.000000
3570168928.864414,0.000000,-0.112501,0.000000
3570168928.874415,0.000000,-0.112451,0.000000
3570168928.884415,0.000000,-0.112400,0.000000
3570168928.894417,0.000000,-0.112350,0.000000
3570168928.904418,0.000000,-0.112299,0.000000
3570168928.914415,0.000000,-0.112249,0.000000
3570168928.924417,0.000000,-0.112199,0.000000
3570168928.934417,0.000000,-0.112148,0.000000
3570168928.944417,0.000000,-0.112098,0.000000
3570168928.954417,0.000000,-0.112048,0.000000
3570168928.964418,0.000000,-0.111997,0.000000
3570168928.974418,0.000000,-0.111947,0.000000
3570168928.984418,0.000000,-0.111897,0.000000
3570168928.994419,0.000000,-0.111847,0.000000
3570168929.004420,0.000000,-0.111797,0.000000
3570168929.014420,0.000000,-0.111746,0.000000
3570168929.024420,0.000000,-0.111696,0.000000
3570168929.034420,0.000000,-0.111646,0.000000
3570168929.044420,0.000000,-0.111596,0.000000
3570168929.054420,0.000000,-0.111546,0.000000
3570168929.064421,0.000000,-0.111496,0.000000
3570168929.074421,0.000000,-0.111446,0.000000
3570168929.084422,0.000000,-0.111396,0.000000
3570168929.094423,0.000000,-0.111346,0.000000
3570168929.104422,0.000000,-0.111296,0.000000
3570168929.114421,0.000000,-0.111246,0.000000
3570168929.124423,0.000000,-0.111196,0.000000
3570168929.134424,0.000000,-0.111146,0.000000
3570168929.144424,0.000000,-0.111097,0.000000
3570168929.154423,0.000000,-0.111047,0.000000
3570168929.164423,0.000000,-0.110997,0.000000
3570168929.174423,0.000000,-0.110947,0.000000
3570168929.184424,0.000000,-0.110897,0.000000
3570168929.194425,0.000000,-0.110848,0.000000
3570168929.204425,0.000000,-0.110798,0.000000
3570168929.214424,0.000000,-0.110748,0.000000
3570168929.224425,0.000000,-0.110699,0.000000
3570168929.234424,0.000000,-0.110649,0.000000
3570168929.244426,0.000000,-0.110600,0.000000
3570168929.254427,0.000000,-0.110550,0.000000
3570168929.264428,0.000000,-0.110500,0.000000
3570168929.274428,0.000000,-0.110451,0.000000
3570168929.284427,0.000000,-0.110401,0.000000
3570168929.294427,0.000000,-0.110352,0.000000
3570168929.304428,0.000000,-0.110302,0.000000
3570168929.314429,0.000000,-0.110253,0.000000
3570168929.324430,0.000000,-0.110204,0.000000
3570168929.334429,0.000000,-0.110154,0.000000
3570168929.344429,0.000000,-0.110105,0.000000
3570168929.354428,0.000000,-0.110056,0.000000
3570168929.364429,0.000000,-0.110006,0.000000
3570168929.374430,0.000000,-0.109957,0.000000
3570168929.384431,0.000000,-0.109908,0.000000
3570168929.394431,0.000000,-0.109858,0.000000
3570168929.404431,0.000000,-0.109809,0.000000
3570168929.414429,0.000000,-0.109760,0.000000
3570168929.424431,0.000000,-0.109711,0.000000
3570168929.434433,0.000000,-0.109662,0.000000
3570168929.444434,0.000000,-0.109613,0.000000
3570168929.454432,0.000000,-0.109563,0.000000
3570168929.464432,0.000000,-0.109514,0.000000
3570168929.474432,0.000000,-0.109465,0.000000
3570168929.484433,0.000000,-0.109416,0.000000
3570168929.494434,0.000000,-0.109367,0.000000
3570168929.504435,0.000000,-0.109318,0.000000
3570168929.514432,0.000000,-0.109269,0.000000
3570168929.524434,0.000000,-0.109220,0.000000
3570168929.534434,0.000000,-0.109172,0.000000
3570168929.544435,0.000000,-0.109123,0.000000
3570168929.554435,0.000000,-0.109074,0.000000
3570168929.564436,0.000000,-0.109025,0.000000
3570168929.574435,0.000000,-0.108976,0.000000
3570168929.584436,0.000000,-0.108927,0.000000
3570168929.594435,0.000000,-0.108879,0.000000
