Absolute Time,psi_out,u_hat,u_true
3570169019.677071,0.000000,-0.002052,0.000000
3570169019.687071,0.000000,-0.002051,0.000000
3570169019.697074,0.000000,-0.002050,0.000000
3570169019.707075,0.000000,-0.002050,0.000000
3570169019.717072,0.000000,-0.002049,0.000000
3570169019.727075,0.000000,-0.002048,0.000000
3570169019.737095,0.000000,-0.002047,0.000000
3570169019.747074,0.000000,-0.002046,0.000000
3570169019.757075,0.000000,-0.002045,0.000000
3570169019.767076,0.000000,-0.002044,0.000000
3570169019.777076,0.000000,-0.002043,0.000000
3570169019.787076,0.000000,-0.002042,0.000000
3570169019.797076,0.000000,-0.002041,0.000000
3570169019.807075,0.000000,-0.002041,0.000000
3570169019.817075,0.000000,-0.002040,0.000000
3570169019.827075,0.000000,-0.002039,0.000000
3570169019.837100,0.000000,-0.002038,0.000000
3570169019.847075,0.000000,-0.002037,0.000000
3570169019.857075,0.000000,-0.002036,0.000000
3570169019.867075,0.000000,-0.002035,0.000000
3570169019.877075,0.000000,-0.002034,0.000000
3570169019.887076,0.000000,-0.002033,0.000000
3570169019.897075,0.000000,-0.002032,0.000000
3570169019.907075,0.000000,-0.002031,0.000000
3570169019.917075,0.000000,-0.002031,0.000000
3570169019.927076,0.000000,-0.002030,0.000000
3570169019.937102,0.000000,-0.002029,0.000000
3570169019.947077,0.000000,-0.002028,0.000000
3570169019.957077,0.000000,-0.002027,0.000000
3570169019.967078,0.000000,-0.002026,0.000000
3570169019.977077,0.000000,-0.002025,0.000000
3570169019.987078,0.000000,-0.002024,0.000000
3570169019.997078,0.000000,-0.002023,0.000000
3570169020.007079,0.000000,-0.002023,0.000000
3570169020.017077,0.000000,-0.002022,0.000000
3570169020.027079,0.000000,-0.002021,0.000000
3570169020.037103,0.000000,-0.002020,0.000000
3570169020.047081,0.000000,-0.002019,0.000000
3570169020.057079,0.000000,-0.002018,0.000000
3570169020.067080,0.000000,-0.002017,0.000000
3570169020.077078,0.000000,-0.002016,0.000000
3570169020.087080,0.000000,-0.002015,0.000000
3570169020.097079,0.000000,-0.002014,0.000000
3570169020.107081,0.000000,-0.002014,0.000000
3570169020.117080,0.000000,-0.002013,0.000000
3570169020.127081,0.000000,-0.002012,0.000000
3570169020.137106,0.000000,-0.002011,0.000000
3570169020.147082,0.000000,-0.002010,0.000000
3570169020.157081,0.000000,-0.002009,0.000000
3570169020.167083,0.000000,-0.002008,0.000000
3570169020.177083,0.000000,-0.002007,0.000000
3570169020.187084,0.000000,-0.002006,0.000000
3570169020.197084,0.000000,-0.002006,0.000000
3570169020.207084,0.000000,-0.002005,0.000000
3570169020.217082,0.000000,-0.002004,0.000000
3570169020.227084,0.000000,-0.002003,0.000000
3570169020.237108,0.000000,-0.002002,0.000000
3570169020.247084,0.000000,-0.002001,0.000000
3570169020.257083,0.000000,-0.002000,0.000000
3570169020.267083,0.000000,-0.001999,0.000000
3570169020.277082,0.000000,-0.001998,0.000000
3570169020.287083,0.000000,-0.001998,0.000000
3570169020.297083,0.000000,-0.001997,0.000000
3570169020.307083,0.000000,-0.001996,0.000000
3570169020.317081,0.000000,-0.001995,0.000000
3570169020.327082,0.000000,-0.001994,0.000000
3570169020.337107,0.000000,-0.001993,0.000000
3570169020.347084,0.000000,-0.001992,0.000000
3570169020.357083,0.000000,-0.001991,0.000000
3570169020.367083,0.000000,-0.001991,0.000000
3570169020.377083,0.000000,-0.001990,0.000000
3570169020.387083,0.000000,-0.001989,0.000000
3570169020.397083,0.000000,-0.001988,0.000000
3570169020.407083,0.000000,-0.001987,0.000000
3570169020.417083,0.000000,-0.001986,0.000000
3570169020.427084,0.000000,-0.001985,0.000000
3570169020.437108,0.000000,-0.001984,0.000000
3570169020.447084,0.000000,-0.001983,0.000000
3570169020.457082,0.000000,-0.001983,0.000000
3570169020.467083,0.000000,-0.001982,0.000000
3570169020.477084,0.000000,-0.001981,0.000000
3570169020.487082,0.000000,-0.001980,0.000000
3570169020.497082,0.000000,-0.001979,0.000000
3570169020.507087,0.000000,-0.001978,0.000000
3570169020.517083,0.000000,-0.001977,0.000000
3570169020.527084,0.000000,-0.001976,0.000000
3570169020.537108,0.000000,-0.001976,0.000000
3570169020.547086,0.000000,-0.001975,0.000000
3570169020.557084,0.000000,-0.001974,0.000000
3570169020.567085,0.000000,-0.001973,0.000000
3570169020.577085,0.000000,-0.001972,0.000000
3570169020.587086,0.000000,-0.001971,0.000000
3570169020.597086,0.000000,-0.001970,0.000000
3570169020.607086,0.000000,-0.001969,0.000000
3570169020.617086,0.000000,-0.001969,0.000000
3570169020.627087,0.000000,-0.001968,0.000000
3570169020.637106,0.000000,-0.001967,0.000000
3570169020.647088,0.000000,-0.001966,0.000000
3570169020.657088,0.000000,-0.001965,0.000000
3570169020.667087,0.000000,-0.001964,0.000000
3570169020.677088,0.000000,-0.001963,0.000000
3570169020.687088,0.000000,-0.001962,0.000000
3570169020.697091,0.000000,-0.001962,0.000000
3570169020.707089,0.000000,-0.001961,0.000000
3570169020.717088,0.000000,-0.001960,0.000000
3570169020.727090,0.000000,-0.001959,0.000000
3570169020.737108,0.000000,-0.001958,0.000000
3570169020.747090,0.000000,-0.001957,0.000000
3570169020.757092,0.000000,-0.001956,0.000000
3570169020.767092,0.000000,-0.001956,0.000000
3570169020.777092,0.000000,-0.001955,0.000000
3570169020.787093,0.000000,-0.001954,0.000000
3570169020.797092,0.000000,-0.001953,0.000000
3570169020.807093,0.000000,-0.001952,0.000000
3570169020.817092,0.000000,-0.001951,0.000000
3570169020.827092,0.000000,-0.001950,0.000000
3570169020.837103,0.000000,-0.001949,0.000000
3570169020.847093,0.000000,-0.001949,0.000000
3570169020.857094,0.000000,-0.001948,0.000000
3570169020.867094,0.000000,-0.001947,0.000000
3570169020.877095,0.000000,-0.001946,0.000000
3570169020.887095,0.000000,-0.001945,0.000000
3570169020.897095,0.000000,-0.001944,0.000000
3570169020.907095,0.000000,-0.001943,0.000000
3570169020.917095,0.000000,-0.001943,0.000000
3570169020.927096,0.000000,-0.001942,0.000000
3570169020.937105,0.000000,-0.001941,0.000000
3570169020.947098,0.000000,-0.001940,0.000000
3570169020.957098,0.000000,-0.001939,0.000000
3570169020.967098,0.000000,-0.001938,0.000000
3570169020.977098,0.000000,-0.001937,0.000000
3570169020.987099,0.000000,-0.001937,0.000000
3570169020.997099,0.000000,-0.001936,0.000000
3570169021.007101,0.000000,-0.001935,0.000000
3570169021.017099,0.000000,-0.001934,0.000000
3570169021.027101,0.000000,-0.001933,0.000000
3570169021.037106,0.000000,-0.001932,0.000000
3570169021.047102,0.000000,-0.001931,0.000000
3570169021.057102,0.000000,-0.001931,0.000000
3570169021.067103,0.000000,-0.001930,0.000000
3570169021.077102,0.000000,-0.001929,0.000000
3570169021.087102,0.000000,-0.001928,0.000000
3570169021.097103,0.000000,-0.001927,0.000000
3570169021.107104,0.000000,-0.001926,0.000000
3570169021.117102,0.000000,-0.001925,0.000000
3570169021.127104,0.000000,-0.001925,0.000000
3570169021.137106,0.000000,-0.001924,0.000000
3570169021.147107,0.000000,-0.001923,0.000000
3570169021.157103,0.000000,-0.001922,0.000000
3570169021.167104,0.000000,-0.001921,0.000000
