Absolute Time,u_hat,u_true,y_hat,y_m,y-error
3571895534.981156,-0.007265,-0.000388,-19.785264,-19.550827,0.234437
3571895534.991156,-0.007235,-0.000388,-19.782985,-19.550827,0.232158
3571895535.001157,-0.007205,-0.000388,-19.780727,-19.550827,0.229901
3571895535.011157,-0.007176,-0.000388,-19.778491,-19.550827,0.227664
3571895535.021157,-0.007147,-0.000388,-19.776275,-19.550827,0.225448
3571895535.031157,-0.007118,-0.000388,-19.774079,-20.199878,-0.425799
3571895535.041158,-0.007089,-0.000387,-19.771904,-20.199878,-0.427974
3571895535.051158,-0.007272,-0.000387,-19.776249,-20.199878,-0.423630
3571895535.061160,-0.007456,-0.000387,-19.780614,-20.199878,-0.419265
3571895535.071160,-0.007637,-0.000387,-19.784937,-20.199878,-0.414941
3571895535.081159,-0.007817,-0.000387,-19.789219,-20.199878,-0.410660
3571895535.091159,-0.007994,-0.000387,-19.793459,-20.199878,-0.406419
3571895535.101159,-0.008170,-0.000387,-19.797658,-20.199878,-0.402220
3571895535.111160,-0.008344,-0.000386,-19.801817,-20.199878,-0.398062
3571895535.121161,-0.008516,-0.000386,-19.805935,-20.199878,-0.393943
3571895535.131161,-0.008686,-0.000386,-19.810013,-20.283038,-0.473024
3571895535.141161,-0.008854,-0.000386,-19.814052,-20.283038,-0.468985
3571895535.151160,-0.009086,-0.000386,-19.818883,-20.283038,-0.464154
3571895535.161161,-0.009316,-0.000386,-19.823676,-20.283038,-0.459362
3571895535.171162,-0.009544,-0.000385,-19.828422,-20.283038,-0.454616
3571895535.181163,-0.009769,-0.000385,-19.833123,-20.283038,-0.449915
3571895535.191162,-0.009992,-0.000385,-19.837778,-20.283038,-0.445259
3571895535.201162,-0.010212,-0.000385,-19.842389,-20.283038,-0.440649
3571895535.211162,-0.010430,-0.000385,-19.846955,-20.283038,-0.436082
3571895535.221160,-0.010645,-0.000385,-19.851478,-20.283038,-0.431560
3571895535.231163,-0.010859,-0.000385,-19.855957,-18.744691,1.111265
3571895535.241164,-0.011069,-0.000384,-19.860393,-18.744691,1.115701
3571895535.251164,-0.010516,-0.000384,-19.849390,-18.744691,1.104699
3571895535.261163,-0.009962,-0.000384,-19.838345,-18.744691,1.093654
3571895535.271163,-0.009413,-0.000384,-19.827403,-18.744691,1.082712
3571895535.281164,-0.008870,-0.000384,-19.816566,-18.744691,1.071875
3571895535.291164,-0.008332,-0.000384,-19.805832,-18.744691,1.061140
3571895535.301166,-0.007800,-0.000384,-19.795200,-18.744691,1.050508
3571895535.311165,-0.007273,-0.000383,-19.784669,-18.744691,1.039977
3571895535.321167,-0.006752,-0.000383,-19.774238,-18.744691,1.029546
3571895535.331165,-0.006237,-0.000383,-19.763906,-19.710702,0.053203
3571895535.341166,-0.005726,-0.000383,-19.753672,-19.710702,0.042970
3571895535.351166,-0.005735,-0.000383,-19.753207,-19.710702,0.042504
3571895535.361166,-0.005750,-0.000383,-19.752837,-19.710702,0.042135
3571895535.371167,-0.005765,-0.000382,-19.752472,-19.710702,0.041770
3571895535.381167,-0.005780,-0.000382,-19.752111,-19.710702,0.041408
3571895535.391167,-0.005795,-0.000382,-19.751752,-19.710702,0.041050
3571895535.401168,-0.005809,-0.000382,-19.751397,-19.710702,0.040694
3571895535.411168,-0.005824,-0.000382,-19.751045,-19.710702,0.040342
3571895535.421168,-0.005838,-0.000382,-19.750696,-19.710702,0.039994
3571895535.431169,-0.005851,-0.000382,-19.750350,-19.444844,0.305506
3571895535.441168,-0.005865,-0.000381,-19.750008,-19.444844,0.305164
3571895535.451169,-0.005680,-0.000381,-19.747009,-19.444844,0.302164
3571895535.461169,-0.005494,-0.000381,-19.744012,-19.444844,0.299168
3571895535.471170,-0.005310,-0.000381,-19.741044,-19.444844,0.296200
3571895535.481170,-0.005128,-0.000381,-19.738104,-19.444844,0.293259
3571895535.491169,-0.004947,-0.000381,-19.735191,-19.444844,0.290347
3571895535.501170,-0.004769,-0.000381,-19.732306,-19.444844,0.287461
3571895535.511170,-0.004592,-0.000380,-19.729448,-19.444844,0.284603
3571895535.521171,-0.004418,-0.000380,-19.726616,-19.444844,0.281772
3571895535.531172,-0.004245,-0.000380,-19.723812,-20.199247,-0.475435
3571895535.541172,-0.004073,-0.000380,-19.721034,-20.199247,-0.478213
3571895535.551172,-0.004243,-0.000380,-19.725829,-20.199247,-0.473418
3571895535.561172,-0.004415,-0.000380,-19.730649,-20.199247,-0.468598
3571895535.571172,-0.004585,-0.000380,-19.735425,-20.199247,-0.463822
3571895535.581173,-0.004753,-0.000379,-19.740154,-20.199247,-0.459093
3571895535.591172,-0.004919,-0.000379,-19.744838,-20.199247,-0.454409
3571895535.601172,-0.005083,-0.000379,-19.749477,-20.199247,-0.449770
3571895535.611173,-0.005246,-0.000379,-19.754071,-20.199247,-0.445176
3571895535.621174,-0.005407,-0.000379,-19.758622,-20.199247,-0.440625
3571895535.631175,-0.005566,-0.000379,-19.763128,-19.488440,0.274688
3571895535.641174,-0.005723,-0.000378,-19.767592,-19.488440,0.279152
3571895535.651174,-0.005534,-0.000378,-19.764902,-19.488440,0.276462
3571895535.661174,-0.005345,-0.000378,-19.762170,-19.488440,0.273730
3571895535.671175,-0.005159,-0.000378,-19.759464,-19.488440,0.271024
3571895535.681175,-0.004974,-0.000378,-19.756783,-19.488440,0.268343
3571895535.691175,-0.004790,-0.000378,-19.754127,-19.488440,0.265687
3571895535.701176,-0.004609,-0.000378,-19.751496,-19.488440,0.263056
3571895535.711176,-0.004430,-0.000377,-19.748890,-19.488440,0.260450
3571895535.721177,-0.004252,-0.000377,-19.746309,-19.488440,0.257869
3571895535.731176,-0.004077,-0.000377,-19.743752,-18.812474,0.931278
3571895535.741178,-0.003903,-0.000377,-19.741218,-18.812474,0.928745
3571895535.751176,-0.003361,-0.000377,-19.731948,-18.812474,0.919475
3571895535.761177,-0.002820,-0.000377,-19.722702,-18.812474,0.910228
3571895535.771178,-0.002285,-0.000377,-19.713542,-18.812474,0.901068
3571895535.781177,-0.001756,-0.000376,-19.704470,-18.812474,0.891996
3571895535.791178,-0.001233,-0.000376,-19.695483,-18.812474,0.883010
3571895535.801179,-0.000714,-0.000376,-19.686582,-18.812474,0.874109
3571895535.811178,-0.000201,-0.000376,-19.677766,-18.812474,0.865292
3571895535.821178,0.000306,-0.000376,-19.669033,-18.812474,0.856560
3571895535.831180,0.000808,-0.000376,-19.660384,-20.149251,-0.488868
3571895535.841179,0.001305,-0.000376,-19.651816,-20.149251,-0.497435
3571895535.851180,0.001173,-0.000375,-19.656710,-20.149251,-0.492542
3571895535.861180,0.001038,-0.000375,-19.661686,-20.149251,-0.487566
3571895535.871180,0.000905,-0.000375,-19.666615,-20.149251,-0.482637
