Absolute Time,u_hat,u_true,psi_error,psi_hat,psi_m
3571895055.808444,-0.011758,-0.007953,0.000013,0.124759,0.124772
3571895055.818444,-0.011750,-0.007950,0.000013,0.124759,0.124772
3571895055.828444,-0.011743,-0.007947,0.000013,0.124759,0.124772
3571895055.838444,-0.011736,-0.007944,0.000013,0.124759,0.124772
3571895055.848446,-0.011729,-0.007941,0.000013,0.124759,0.124772
3571895055.858445,-0.011722,-0.007938,0.000012,0.124760,0.124772
3571895055.868446,-0.011715,-0.007935,0.000012,0.124760,0.124772
3571895055.878446,-0.011708,-0.007932,0.000012,0.124760,0.124772
3571895055.888446,-0.011701,-0.007928,0.000012,0.124760,0.124772
3571895055.898446,-0.011693,-0.007925,0.000012,0.124760,0.124772
3571895055.908447,-0.011686,-0.007922,0.000012,0.124760,0.124772
3571895055.918447,-0.011679,-0.007919,0.000012,0.124760,0.124772
3571895055.928447,-0.011672,-0.007916,0.000012,0.124760,0.124772
3571895055.938448,-0.011665,-0.007913,0.000012,0.124760,0.124772
3571895055.948449,-0.011658,-0.007910,0.000012,0.124760,0.124772
3571895055.958448,-0.011651,-0.007907,0.000012,0.124760,0.124772
3571895055.968448,-0.011644,-0.007904,0.000012,0.124760,0.124772
3571895055.978448,-0.011637,-0.007900,0.000012,0.124760,0.124772
3571895055.988449,-0.011630,-0.007897,0.000012,0.124760,0.124772
3571895055.998447,-0.011623,-0.007894,0.000012,0.124760,0.124772
3571895056.008450,-0.011616,-0.007891,0.000012,0.124761,0.124772
3571895056.018450,-0.011609,-0.007888,0.000012,0.124761,0.124772
3571895056.028450,-0.011602,-0.007885,0.000011,0.124761,0.124772
3571895056.038450,-0.011595,-0.007882,0.000011,0.124761,0.124772
3571895056.048451,-0.011587,-0.007879,0.000011,0.124761,0.124772
3571895056.058451,-0.011580,-0.007876,0.000011,0.124761,0.124772
3571895056.068451,-0.011573,-0.007873,0.000011,0.124761,0.124772
3571895056.078450,-0.011566,-0.007870,0.000011,0.124761,0.124772
3571895056.088452,-0.011559,-0.007866,0.000011,0.124761,0.124772
3571895056.098450,-0.011552,-0.007863,0.000011,0.124761,0.124772
3571895056.108453,-0.011545,-0.007860,0.000011,0.124761,0.124772
3571895056.118452,-0.011538,-0.007857,0.000011,0.124761,0.124772
3571895056.128452,-0.011531,-0.007854,0.000011,0.124761,0.124772
3571895056.138453,-0.011524,-0.007851,0.000011,0.124761,0.124772
3571895056.148453,-0.011518,-0.007848,0.000011,0.124761,0.124772
3571895056.158454,-0.011511,-0.007845,0.000011,0.124762,0.124772
3571895056.168453,-0.011504,-0.007842,0.000011,0.124762,0.124772
3571895056.178452,-0.011497,-0.007839,0.000011,0.124762,0.124772
3571895056.188454,-0.011490,-0.007836,0.000011,0.124762,0.124772
3571895056.198454,-0.011483,-0.007833,0.000010,0.124762,0.124772
3571895056.208455,-0.011476,-0.007830,0.000010,0.124762,0.124772
3571895056.218454,-0.011469,-0.007826,0.000010,0.124762,0.124772
3571895056.228456,-0.011462,-0.007823,0.000010,0.124762,0.124772
3571895056.238455,-0.011455,-0.007820,0.000010,0.124762,0.124772
3571895056.248456,-0.011448,-0.007817,0.000010,0.124762,0.124772
3571895056.258456,-0.011441,-0.007814,0.000010,0.124762,0.124772
3571895056.268456,-0.011434,-0.007811,0.000010,0.124762,0.124772
3571895056.278456,-0.011427,-0.007808,0.000010,0.124762,0.124772
3571895056.288457,-0.011420,-0.007805,0.000010,0.124762,0.124772
3571895056.298457,-0.011414,-0.007802,0.000010,0.124762,0.124772
3571895056.308457,-0.011407,-0.007799,0.000010,0.124763,0.124772
3571895056.318457,-0.011400,-0.007796,0.000010,0.124763,0.124772
3571895056.328458,-0.011393,-0.007793,0.000010,0.124763,0.124772
3571895056.338457,-0.011386,-0.007790,0.000010,0.124763,0.124772
3571895056.348458,-0.011379,-0.007787,0.000010,0.124763,0.124772
3571895056.358459,-0.011372,-0.007784,0.000010,0.124763,0.124772
3571895056.368459,-0.011365,-0.007781,0.000009,0.124763,0.124772
3571895056.378458,-0.011359,-0.007778,0.000009,0.124763,0.124772
3571895056.388459,-0.011352,-0.007774,0.000009,0.124763,0.124772
3571895056.398459,-0.011345,-0.007771,0.000009,0.124763,0.124772
3571895056.408460,-0.011338,-0.007768,0.000009,0.124763,0.124772
3571895056.418460,-0.011331,-0.007765,0.000009,0.124763,0.124772
3571895056.428460,-0.011324,-0.007762,0.000009,0.124763,0.124772
3571895056.438461,-0.011317,-0.007759,0.000009,0.124763,0.124772
3571895056.448461,-0.011311,-0.007756,0.000009,0.124763,0.124772
3571895056.458461,-0.011304,-0.007753,0.000009,0.124763,0.124772
3571895056.468462,-0.011297,-0.007750,0.000009,0.124764,0.124772
3571895056.478461,-0.011290,-0.007747,0.000009,0.124764,0.124772
3571895056.488463,-0.011283,-0.007744,0.000009,0.124764,0.124772
3571895056.498461,-0.011277,-0.007741,0.000009,0.124764,0.124773
3571895056.508463,-0.011270,-0.007738,0.000009,0.124764,0.124773
3571895056.518463,-0.011263,-0.007735,0.000009,0.124764,0.124773
3571895056.528463,-0.011256,-0.007732,0.000009,0.124764,0.124773
3571895056.538463,-0.011250,-0.007729,0.000009,0.124764,0.124773
3571895056.548463,-0.011243,-0.007726,0.000008,0.124764,0.124773
3571895056.558465,-0.011236,-0.007723,0.000008,0.124764,0.124773
3571895056.568465,-0.011229,-0.007720,0.000008,0.124764,0.124773
