Absolute Time,u_hat,u_true,x_hat,x_m,x-error
3571895397.647515,-0.004221,-0.001740,-13.654625,-14.126975,-0.472349
3571895397.657516,-0.004387,-0.001739,-13.659518,-14.126975,-0.467457
3571895397.667516,-0.004551,-0.001738,-13.664364,-14.126975,-0.462611
3571895397.677516,-0.004714,-0.001738,-13.669162,-14.126975,-0.457813
3571895397.687517,-0.004875,-0.001737,-13.673913,-14.126975,-0.453061
3571895397.697512,-0.005035,-0.001736,-13.678618,-14.126975,-0.448356
3571895397.707517,-0.005192,-0.001736,-13.683277,-14.126975,-0.443697
3571895397.717517,-0.005348,-0.001735,-13.687891,-14.126975,-0.439084
3571895397.727518,-0.005502,-0.001734,-13.692460,-13.791736,-0.099276
3571895397.737517,-0.005655,-0.001734,-13.696984,-13.791736,-0.094752
3571895397.747518,-0.005981,-0.001733,-13.698092,-13.791736,-0.093643
3571895397.757518,-0.006306,-0.001732,-13.699156,-13.791736,-0.092579
3571895397.767519,-0.006628,-0.001732,-13.700209,-13.791736,-0.091527
3571895397.777519,-0.006946,-0.001731,-13.701251,-13.791736,-0.090485
3571895397.787519,-0.007261,-0.001730,-13.702282,-13.791736,-0.089454
3571895397.797519,-0.007573,-0.001730,-13.703302,-13.791736,-0.088434
3571895397.807519,-0.007882,-0.001729,-13.704311,-13.791736,-0.087425
3571895397.817520,-0.008187,-0.001729,-13.705310,-13.791736,-0.086426
3571895397.827519,-0.008488,-0.001728,-13.706298,-13.554442,0.151855
3571895397.837521,-0.008787,-0.001727,-13.707275,-13.554442,0.152833
3571895397.847520,-0.008743,-0.001727,-13.705886,-13.554442,0.151443
3571895397.857521,-0.008695,-0.001726,-13.704487,-13.554442,0.150044
3571895397.867521,-0.008648,-0.001725,-13.703101,-13.554442,0.148658
3571895397.877522,-0.008601,-0.001725,-13.701727,-13.554442,0.147284
3571895397.887522,-0.008554,-0.001724,-13.700366,-13.554442,0.145923
3571895397.897516,-0.008508,-0.001723,-13.699017,-13.554442,0.144575
3571895397.907522,-0.008463,-0.001723,-13.697681,-13.554442,0.143239
3571895397.917523,-0.008417,-0.001722,-13.696357,-13.554442,0.141915
3571895397.927522,-0.008373,-0.001721,-13.695045,-13.583259,0.111786
3571895397.937523,-0.008328,-0.001721,-13.693746,-13.583259,0.110486
3571895397.947523,-0.008560,-0.001720,-13.692646,-13.583259,0.109387
3571895397.957524,-0.008792,-0.001719,-13.691559,-13.583259,0.108300
3571895397.967524,-0.009021,-0.001719,-13.690482,-13.583259,0.107222
3571895397.977524,-0.009247,-0.001718,-13.689413,-13.583259,0.106154
3571895397.987524,-0.009471,-0.001717,-13.688353,-13.583259,0.105094
3571895397.997521,-0.009693,-0.001717,-13.687302,-13.583259,0.104042
3571895398.007525,-0.009912,-0.001716,-13.686259,-13.583259,0.103000
3571895398.017526,-0.010129,-0.001715,-13.685225,-13.583259,0.101966
3571895398.027525,-0.010343,-0.001715,-13.684199,-13.739235,-0.055035
3571895398.037526,-0.010555,-0.001714,-13.683182,-13.739235,-0.056053
3571895398.047526,-0.010628,-0.001713,-13.683832,-13.739235,-0.055403
3571895398.057526,-0.010699,-0.001713,-13.684491,-13.739235,-0.054744
3571895398.067527,-0.010768,-0.001712,-13.685143,-13.739235,-0.054092
3571895398.077526,-0.010836,-0.001711,-13.685786,-13.739235,-0.053448
3571895398.087525,-0.010904,-0.001711,-13.686422,-13.739235,-0.052812
3571895398.097522,-0.010971,-0.001710,-13.687050,-13.739235,-0.052184
3571895398.107528,-0.011037,-0.001709,-13.687671,-13.739235,-0.051564
3571895398.117528,-0.011102,-0.001709,-13.688284,-13.739235,-0.050951
3571895398.127529,-0.011167,-0.001708,-13.688890,-13.681367,0.007523
3571895398.137528,-0.011231,-0.001708,-13.689488,-13.681367,0.008121
3571895398.147530,-0.011320,-0.001707,-13.689504,-13.681367,0.008137
3571895398.157528,-0.011409,-0.001706,-13.689512,-13.681367,0.008145
3571895398.167529,-0.011496,-0.001706,-13.689520,-13.681367,0.008153
3571895398.177529,-0.011583,-0.001705,-13.689525,-13.681367,0.008158
3571895398.187529,-0.011668,-0.001704,-13.689529,-13.681367,0.008162
3571895398.197530,-0.011753,-0.001704,-13.689532,-13.681367,0.008165
3571895398.207530,-0.011836,-0.001703,-13.689533,-13.681367,0.008166
3571895398.217531,-0.011919,-0.001702,-13.689533,-13.681367,0.008166
3571895398.227530,-0.012000,-0.001702,-13.689531,-13.765805,-0.076274
3571895398.237531,-0.012081,-0.001701,-13.689528,-13.765805,-0.076277
3571895398.247531,-0.012049,-0.001700,-13.690415,-13.765805,-0.075390
3571895398.257532,-0.012016,-0.001700,-13.691301,-13.765805,-0.074504
3571895398.267533,-0.011983,-0.001699,-13.692178,-13.765805,-0.073627
